P. Name,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Radius (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),
EPIC 203826436 d,non-habitable,,3.92,2.73,45.81489,45.81489,45.8149,
EPIC 204221263 b,non-habitable,,3.88,1.55,466.4485,466.4485,466.4486,
EPIC 204221263 c,non-habitable,,23.12,2.42,128.5021,128.5021,128.5021,
EPIC 210894022 b,non-habitable,,8.58,1.9,379.4331,379.4332,379.4332,
EPIC 211331236 b,non-habitable,,10.88,2.03,121.9863,121.9863,121.9863,
EPIC 211331236 c,non-habitable,,9.09,1.94,17.88396,17.88396,17.88396,
EPIC 211391664 b,non-habitable,,32.11,4.26,243.2638,243.2638,243.2639,
EPIC 211418729 b,non-habitable,,588.19,10.55,45.3294,45.3294,45.3294,
EPIC 211442297 b,non-habitable,,267.07,12.49,27.55088,35.95161,47.81699,
EPIC 211822797 b,non-habitable,,16.46,2.24,3.15283,4.462212,6.527848,
EPIC 211913977 b,non-habitable,,10.64,2.02,17.97536,21.85776,26.84962,
EPIC 211924657 b,non-habitable,,16.46,2.24,20.39376,20.39376,20.39376,
EPIC  211945201 b,non-habitable,,27.02,6.12,102.7904,102.7904,102.7905,
EPIC 211969807 b,non-habitable,,8.48,1.9,44.02319,62.30619,91.14883,
EPIC 211970147 b,non-habitable,,2.37,1.34,26.51129,32.23732,39.59966,
EPIC 211990866 b,non-habitable,,8.29,3.47,1364.516,2160.829,3631.703,
EPIC 212006344 b,non-habitable,,1.7,1.22,94.01602,94.01603,94.01604,
EPIC 213715787 b,non-habitable,,2.58,1.38,198.0276,198.0276,198.0277,
EPIC 216468514 b,non-habitable,,267.07,16.13,1631.235,1631.235,1631.235,
EPIC 219388192 b,non-habitable,,11604.81,10.49,214.2443,310.6572,467.942,
EPIC 220194974 b,non-habitable,,2.3,1.33,48.13123,48.13124,48.13125,
EPIC 220194974 c,non-habitable,,5.82,1.72,26.14432,26.14432,26.14432,
EPIC 220194974 d,non-habitable,,4.77,1.64,16.55987,16.55987,16.55987,
EPIC 220504338 b,non-habitable,,406.96,10.19,298.2326,298.2327,298.2327,
EPIC 220522664 b,non-habitable,,4.77,1.64,8.264898,8.264899,8.264899,
EPIC 220598331 b,non-habitable,,10.17,1.99,4.836929,4.83693,4.836931,
EPIC 220621087 b,non-habitable,,2.37,1.34,20.47271,20.47272,20.47272,
EPIC 228735255 b,non-habitable,,323.98,12.26,203.8841,257.586,330.2228,
EPIC 228754001 b,non-habitable,,157.38,12.2,614.7076,1068.628,2028.771,
EPIC 228934525 b,non-habitable,,16.11,2.23,56.84837,56.84837,56.84838,
EPIC 228934525 c,non-habitable,,12.42,2.09,20.28602,20.28602,20.28603,
EPIC 246911830 b,non-habitable,451.46,451.47,17.38,2580.12,2580.12,2580.12,
EPIC 248435473 b,non-habitable,,4.74,2.9,703.546,703.5461,703.5462,
EPIC 248435473 c,non-habitable,,0.2,0.64,23.99326,26.02189,28.27068,
EPIC 248545986 b,non-habitable,,1.4,1.1,8.179411,8.179411,8.179412,
EPIC 248545986 c,non-habitable,,0.89,1,4.79462,4.794621,4.794621,
EPIC 248545986 d,non-habitable,,1.3,1.1,3.390143,3.390144,3.390144,
EPIC 249622103 b,non-habitable,,2.71,1.4,271.7266,271.7266,271.7266,
EPIC 249622103 c,non-habitable,,2.3,1.33,66.85909,66.85909,66.8591,
EPIC 249622103 d,non-habitable,,3.49,2.64,12.82168,12.82168,12.82169,
EPIC 249801827 b,non-habitable,,1589.7,1.99,20.948,20.948,20.948,
EPIC 249801827 c,non-habitable,,4.61,1.8,4.104028,4.104029,4.104029,
eps CrB b,non-habitable,2130.2,2130.2,11.68,71.61716,88.76941,111.3883,
eps Eridani b,non-habitable,982.43,982.43,11.58,0.01479517,0.06016912,0.4824209,
eps Ind A b,non-habitable,861.62,861.62,11.5,0.001020946,0.001041508,0.001062602,
eps Tau b,non-habitable,2333.68,2333.68,11.67,20.31746,27.22521,37.33767,
eta Cet b,non-habitable,810.75,810.75,11.46,37.45188,48.22602,63.17447,
eta Cet c,non-habitable,1055.56,1055.56,11.61,17.11304,20.8092,25.56159,
FL Lyr b,non-habitable,2861.46,2861.46,11.61,0.0617334,0.06173341,0.06173342,
Fomalhaut b,non-habitable,953.82,953.82,11.56,0.001017287,0.001260926,0.001582217,
FU Tau b,non-habitable,4769.1,4769.1,11.28,3.66E-10,3.66E-10,3.66E-10,
FW Tau b,non-habitable,3179.4,3179.4,11.57,2.95E-07,2.95E-07,2.95E-07,
gamma 1 Leo b,non-habitable,20310.01,20310.01,,172.9765,228.7359,308.9132,
gamma Cephei b,non-habitable,3525.95,3525.95,11.51,2.472912,2.72434,3.008695,
gamma Lib b,non-habitable,327.16,327.16,10.32,24.8931,40.16303,69.13356,
gamma Lib c,non-habitable,1472.06,1472.06,11.68,11.3613,12.63924,14.10278,
GJ 15A b,non-habitable,3.03,3.03,1.44,3.493732,4.199658,5.093664,
GJ 27.1 b,non-habitable,13,13,4.03,3.22165,3.769535,4.439334,
GJ 86 A b,non-habitable,1274.94,1274.94,11.66,40.58894,44.4541,48.79272,
GJ 160.2 b,non-habitable,10.2,10.2,3.72,55.32088,62.26718,70.34292,
GJ 163 b,non-habitable,10.62,10.62,3.77,2.75927,2.818206,2.878753,
