P. Name,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Radius (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),
Kepler-245 e,non-habitable,,6.1,1.75,247.6447,247.6447,247.6448,
Kepler-246 b,non-habitable,,19.94,2.34,167.902,167.902,167.9021,
Kepler-246 c,non-habitable,,3.49,1.5,50.30549,50.30549,50.3055,
Kepler-247 b,non-habitable,,4.77,1.64,214.2791,214.2792,214.2792,
Kepler-247 c,non-habitable,,13.6,4.09,53.56979,53.56979,53.56981,
Kepler-247 d,non-habitable,,12.19,3.94,19.28513,19.28513,19.28513,
Kepler-248 b,non-habitable,,5.34,3.01,102.9503,102.9503,102.9503,
Kepler-248 c,non-habitable,,13.37,4.07,29.64184,29.64184,29.64185,
Kepler-249 b,non-habitable,,1.14,1.09,27.34864,27.34864,27.34864,
Kepler-249 c,non-habitable,,3.59,1.51,9.958999,9.959002,9.959003,
Kepler-249 d,non-habitable,,4.09,1.57,3.560642,3.560642,3.560642,
Kepler-250 b,non-habitable,,1.31,1.13,181.1241,181.1241,181.1241,
Kepler-250 c,non-habitable,,17.55,2.27,87.65172,87.65173,87.65176,
Kepler-250 d,non-habitable,,14.46,2.17,25.87326,25.87326,25.87327,
Kepler-251 b,non-habitable,,2.3,1.33,235.9183,235.9183,235.9183,
Kepler-251 c,non-habitable,,4.08,2.77,44.52394,44.52395,44.52395,
Kepler-251 d,non-habitable,,4.08,2.77,20.00647,20.00648,20.00648,
Kepler-251 e,non-habitable,,4.08,2.77,4.060229,4.06023,4.06023,
Kepler-252 b,non-habitable,,1.75,1.23,25.2966,25.2966,25.29661,
Kepler-252 c,non-habitable,,13.85,2.15,13.29653,13.29653,13.29653,
Kepler-253 b,non-habitable,,4.65,1.62,194.6759,194.6759,194.676,
Kepler-253 c,non-habitable,,3.52,2.64,52.00533,52.00534,52.00534,
Kepler-253 d,non-habitable,,6.26,3.17,24.37481,24.37481,24.37481,
Kepler-254 b,non-habitable,,11.47,3.86,228.4142,228.4142,228.4143,
Kepler-254 c,non-habitable,,13.85,2.15,84.86029,84.8603,84.86031,
Kepler-254 d,non-habitable,,26.81,2.5,48.4232,48.4232,48.42322,
Kepler-255 b,non-habitable,,3.88,1.55,188.5952,188.5952,188.5953,
Kepler-255 c,non-habitable,,5.22,2.99,88.43744,88.43745,88.43747,
Kepler-255 d,non-habitable,,2.23,1.32,1880.088,1880.089,1880.089,
Kepler-256 b,non-habitable,,4.31,1.59,1974.849,1974.849,1974.849,
Kepler-256 c,non-habitable,,13.85,2.15,710.9456,710.9457,710.9458,
Kepler-256 d,non-habitable,,25.7,2.48,351.4807,351.4807,351.4807,
Kepler-256 e,non-habitable,,20.36,2.35,156.2136,156.2137,156.2137,
Kepler-257 b,non-habitable,,3.38,2.61,604.3906,604.3907,604.3907,
Kepler-257 c,non-habitable,,31.45,5.41,160.3938,160.3938,160.3939,
Kepler-257 d,non-habitable,,24.11,4.95,27.29201,27.29202,27.29202,
Kepler-258 b,non-habitable,,13.26,4.05,42.69744,42.69745,42.69746,
Kepler-258 c,non-habitable,,9.31,3.61,12.16079,12.16079,12.16079,
Kepler-259 b,non-habitable,,4.24,2.8,144.7709,144.771,144.771,
Kepler-259 c,non-habitable,,3.77,2.7,19.1874,19.1874,19.1874,
Kepler-260 b,non-habitable,,10.4,2,89.61929,89.61929,89.6193,
Kepler-260 c,non-habitable,,5.96,1.74,4.573491,4.573491,4.573492,
Kepler-261 b,non-habitable,,14.46,2.17,48.84026,48.84027,48.84028,
Kepler-261 c,non-habitable,,10.17,1.99,15.54154,15.54154,15.54155,
Kepler-262 b,non-habitable,,2.44,1.36,69.33565,69.33565,69.33566,
Kepler-262 c,non-habitable,,4.77,1.64,35.00393,35.00394,35.00394,
Kepler-263 b,non-habitable,,3.62,2.67,29.87962,29.87962,29.87962,
Kepler-263 c,non-habitable,,25.16,2.46,7.346944,7.346945,7.346946,
Kepler-264 b,non-habitable,,7.27,3.33,49.99347,49.99347,49.99348,
Kepler-264 c,non-habitable,,4.34,2.82,9.675626,9.675627,9.675627,
Kepler-265 b,non-habitable,,7.73,1.86,264.3264,264.3264,264.3265,
Kepler-265 c,non-habitable,,3.47,2.63,78.02456,78.02456,78.02457,
Kepler-265 d,non-habitable,,26.25,2.49,22.59512,22.59513,22.59513,
Kepler-265 e,non-habitable,,3.28,2.59,12.3668,12.3668,12.3668,
Kepler-266 b,non-habitable,,25.7,2.48,226.4819,226.4819,226.482,
Kepler-266 c,non-habitable,,11.68,3.89,5.466607,5.466607,5.466608,
Kepler-267 b,non-habitable,,9.95,1.98,67.55927,67.55928,67.5593,
Kepler-267 c,non-habitable,,13.26,2.13,25.69129,25.69129,25.6913,
Kepler-267 d,non-habitable,,17.55,2.27,3.899842,3.899842,3.899843,
Kepler-268 b,non-habitable,,3.1,2.54,61.07343,61.07343,61.07344,
Kepler-268 c,non-habitable,,7.65,3.38,12.94326,12.94326,12.94326,
Kepler-269 b,non-habitable,,25.16,2.46,259.7197,259.7197,259.7197,
Kepler-269 c,non-habitable,,5.4,1.69,147.2972,147.2972,147.2972,
Kepler-270 b,non-habitable,,10.4,2,226.3206,226.3206,226.3206,
Kepler-270 c,non-habitable,,6.4,1.77,79.97359,79.97359,79.97361,
Kepler-271 b,non-habitable,,0.58,0.88,206.2974,206.2974,206.2975,
Kepler-271 c,non-habitable,,0.86,1,128.3373,128.3374,128.3374,
Kepler-271 d,non-habitable,,0.23,0.66,             ,             ,             ,
Kepler-272 b,non-habitable,,2.97,1.43,423.0662,423.0662,423.0663,
Kepler-272 c,non-habitable,,6.72,1.79,164.1783,164.1783,164.1784,
Kepler-272 d,non-habitable,,16.81,2.25,73.7722,73.77221,73.77221,
Kepler-273 b,non-habitable,,3.49,1.5,430.7797,430.7798,430.7799,
Kepler-273 c,non-habitable,,9.95,1.98,110.6657,110.6657,110.6657,
Kepler-274 b,non-habitable,,3.78,1.53,118.0705,118.0705,118.0705,
Kepler-274 c,non-habitable,,7.38,1.84,28.94168,28.94168,28.94169,
Kepler-275 b,non-habitable,,19.94,2.34,256.9971,256.9971,256.9972,
Kepler-275 c,non-habitable,,7.65,3.38,141.6552,141.6552,141.6552,
Kepler-275 d,non-habitable,,7.27,3.33,49.19085,49.19085,49.19086,
Kepler-276 b,non-habitable,,4.57,2.87,65.24474,65.24475,65.24476,
Kepler-276 c,non-habitable,,14.31,2.9,24.52877,24.52877,24.52878,
Kepler-276 d,non-habitable,,13.99,2.8,13.96431,13.96431,13.96431,
Kepler-277 b,non-habitable,,89.02,2.92,200.4282,200.4282,200.4283,
Kepler-277 c,non-habitable,,66.77,3.36,84.85925,84.85926,84.85928,
Kepler-278 b,non-habitable,,19.12,4.58,103.8351,112.3937,121.8573,
Kepler-278 c,non-habitable,,7.12,3.3,24.42496,64.72227,231.8718,
Kepler-279 b,non-habitable,,9.4,3.62,213.8977,213.8978,213.8978,
Kepler-279 c,non-habitable,,54.37,4.31,49.85012,49.85013,49.85014,
Kepler-279 d,non-habitable,,41.33,3.1,28.41669,28.4167,28.41671,
Kepler-280 b,non-habitable,,3.05,1.44,755.488,755.488,755.4882,
Kepler-280 c,non-habitable,,10.4,2,246.69,246.69,246.69,
Kepler-281 b,non-habitable,,4.34,2.82,56.95057,56.95058,56.95058,
Kepler-281 c,non-habitable,,29.72,5.31,16.86526,16.86526,16.86526,
Kepler-282 b,non-habitable,,0.89,1.01,162.2677,162.2677,162.2677,
Kepler-282 c,non-habitable,,1.59,1.2,97.10641,97.10641,97.10644,
Kepler-282 d,non-habitable,,64.86,2.46,37.19466,37.19466,37.19466,
Kepler-282 e,non-habitable,,61.04,3.1,17.14235,17.14236,17.14236,
Kepler-283 b,non-habitable,,13.26,2.13,15.53704,15.53704,15.53704,
Kepler-283 c,mesoplanet,,7.04,1.81,0.898436,0.8984361,0.8984361,
Kepler-284 b,non-habitable,,16.46,2.24,54.09936,54.09937,54.09938,
Kepler-284 c,non-habitable,,3.38,2.61,12.89733,12.89733,12.89733,
Kepler-285 b,non-habitable,,2.37,1.34,389.3722,389.3723,389.3723,
Kepler-285 c,non-habitable,,1.27,1.12,123.1998,123.1998,123.1998,
Kepler-286 b,non-habitable,,1.81,1.24,882.462,882.462,882.4621,
Kepler-286 c,non-habitable,,2.51,1.37,364.6909,364.6909,364.691,
Kepler-286 d,non-habitable,,2.3,1.33,172.8876,172.8876,172.8876,
Kepler-286 e,non-habitable,,6.4,1.77,20.76817,20.76817,20.76817,
Kepler-287 b,non-habitable,,19.52,2.33,51.44419,51.4442,51.44422,
Kepler-287 c,non-habitable,,6.82,3.26,17.87319,17.8732,17.8732,
Kepler-288 b,non-habitable,,5.14,1.67,309.4682,309.4682,309.4682,
Kepler-288 c,non-habitable,,4.45,2.84,66.70934,66.70934,66.70936,
Kepler-288 d,non-habitable,,3.62,2.67,15.87373,15.87373,15.87373,
Kepler-289 b,non-habitable,,7.31,2.15,24.97865,26.19894,27.49533,
Kepler-289 c,non-habitable,,4.13,2.68,10.36675,10.60713,10.85466,
Kepler-289 d,non-habitable,,131.95,11.58,4.411606,4.44078,4.470211,
Kepler-290 b,non-habitable,,16.81,2.25,28.49604,28.49604,28.49605,
Kepler-290 c,non-habitable,,3.77,2.7,8.204691,8.204691,8.204693,
Kepler-291 b,non-habitable,,14.15,2.16,548.3759,548.3759,548.376,
Kepler-291 c,non-habitable,,8.1,1.88,286.7129,286.713,286.713,
Kepler-292 b,non-habitable,,2.23,1.32,397.8191,397.8191,397.8192,
Kepler-292 c,non-habitable,,3.22,1.47,240.656,240.656,240.6561,
Kepler-292 d,non-habitable,,16.11,2.23,105.3911,105.3911,105.3911,
Kepler-292 e,non-habitable,,3.62,2.67,51.79386,51.79386,51.79386,
Kepler-292 f,non-habitable,,20.36,2.35,24.51227,24.51227,24.51227,
Kepler-293 b,non-habitable,,5.66,3.07,45.24982,45.24982,45.24983,
Kepler-293 c,non-habitable,,11.18,3.83,11.47122,11.47122,11.47123,
Kepler-294 b,non-habitable,,6.4,1.77,457.1841,457.1841,457.1842,
Kepler-294 c,non-habitable,,3.82,2.71,208.957,208.957,208.957,
Kepler-295 b,non-habitable,,1.7,1.22,73.07803,73.07804,73.07806,
Kepler-295 c,non-habitable,,1.45,1.16,35.52061,35.52062,35.52063,
Kepler-295 d,non-habitable,,2.44,1.36,19.42919,19.4292,19.4292,
Kepler-296 b,non-habitable,,0.71,0.94,60.29533,60.29533,60.29533,
Kepler-296 c,non-habitable,,13.85,2.15,31.45034,31.45034,31.45034,
Kepler-296 d,non-habitable,,17.55,2.27,6.161595,6.161595,6.161596,
Kepler-296 e,mesoplanet,,3.32,1.48,1.005184,1.222288,1.501434,
Kepler-296 f,psychroplanet,,6.14,1.75,0.2687829,0.3395788,0.4353369,
Kepler-297 b,non-habitable,,4.57,2.87,16.07615,16.07615,16.07616,
Kepler-297 c,non-habitable,,55.96,6.53,6.705374,6.705375,6.705377,
Kepler-298 b,non-habitable,,9.51,1.96,18.74354,18.74354,18.74355,
Kepler-298 c,non-habitable,,8.88,1.93,6.485654,6.485655,6.485656,
Kepler-298 d,mesoplanet,,26.81,2.5,1.289531,1.289531,1.289532,
Kepler-299 b,non-habitable,,2.23,1.32,592.1912,592.1912,592.1913,
Kepler-299 c,non-habitable,,3.52,2.64,193.3686,193.3686,193.3686,
Kepler-299 d,non-habitable,,7.73,1.86,68.04839,68.0484,68.04841,
Kepler-299 e,non-habitable,,7.92,1.87,19.57657,19.57657,19.57657,
Kepler-300 b,non-habitable,,5.14,1.67,105.6005,105.6005,105.6005,
Kepler-300 c,non-habitable,,16.81,2.25,17.33587,17.33587,17.33588,
Kepler-301 b,non-habitable,,2.37,1.34,641.1633,641.1634,641.1635,
Kepler-301 c,non-habitable,,2.37,1.34,230.8188,230.8188,230.8188,
Kepler-301 d,non-habitable,,6.1,1.75,66.24264,66.24265,66.24265,
Kepler-302 b,non-habitable,,13.26,4.05,38.91727,38.91728,38.91729,
Kepler-302 c,non-habitable,,,12.44,5.729558,5.729558,5.729559,
Kepler-303 b,non-habitable,,0.58,0.88,86.83551,86.83553,86.83553,
Kepler-303 c,non-habitable,,1.35,1.14,15.39466,15.39466,15.39466,
Kepler-304 b,non-habitable,,4.51,2.86,140.6924,140.6924,140.6924,
Kepler-304 c,non-habitable,,14.46,2.17,73.38585,73.38585,73.38586,
Kepler-304 d,non-habitable,,3.97,2.74,33.43642,33.43643,33.43644,
Kepler-304 e,non-habitable,,1.59,1.2,378.0319,378.0319,378.032,
Kepler-305 b,non-habitable,,11.32,3.61,115.8458,115.8458,115.8458,
Kepler-305 c,non-habitable,,6.1,3.3,66.81301,66.81301,66.81303,
Kepler-305 d,non-habitable,,3.82,2.71,27.13387,27.13387,27.13387,
Kepler-306 b,non-habitable,,3.69,1.52,112.0569,112.057,112.057,
Kepler-306 c,non-habitable,,20.36,2.35,62.40641,62.40641,62.40643,
Kepler-306 d,non-habitable,,25.16,2.46,19.45433,19.45433,19.45434,
Kepler-306 e,non-habitable,,17.55,2.27,5.436597,5.436597,5.436598,
Kepler-307 b,non-habitable,,7.44,2.43,113.3807,113.3807,113.3807,
Kepler-307 c,non-habitable,,3.65,2.2,83.65391,83.65392,83.65393,
Kepler-308 b,non-habitable,,12.97,2.12,118.1941,118.1941,118.1941,
Kepler-308 c,non-habitable,,14.15,2.16,63.28059,63.2806,63.28062,
Kepler-309 b,non-habitable,,3.99,1.56,65.92353,65.92354,65.92355,
Kepler-309 c,non-habitable,,2.97,2.51,1.427104,1.427104,1.427105,
Kepler-310 b,non-habitable,,1.54,1.19,63.68284,63.68285,63.68286,
Kepler-310 c,non-habitable,,7.65,3.38,9.937012,9.937013,9.937016,
Kepler-310 d,non-habitable,,25.16,2.46,5.106182,5.106182,5.106184,
Kepler-311 b,non-habitable,,5.54,1.7,204.0914,204.0915,204.0915,
Kepler-311 c,non-habitable,,2.97,1.43,73.47292,73.47293,73.47295,
Kepler-312 b,non-habitable,,2.04,1.29,2820.895,2820.895,2820.896,
Kepler-312 c,non-habitable,,6.12,3.15,115.805,115.805,115.8051,
Kepler-313 b,non-habitable,,3.06,2.53,146.4941,146.4941,146.4941,
Kepler-313 c,non-habitable,,3.19,2.56,52.90702,52.90703,52.90704,
Kepler-314 b,non-habitable,,0.47,0.83,552.9478,552.9478,552.9479,
Kepler-314 c,non-habitable,,4.74,2.9,165.3713,165.3713,165.3714,
Kepler-315 b,non-habitable,,10.59,3.76,6.776695,6.776695,6.776696,
Kepler-315 c,non-habitable,,14.16,4.14,1.750318,1.750318,1.750319,
Kepler-316 b,non-habitable,,1.07,1.06,103.9489,103.9489,103.9489,
Kepler-316 c,non-habitable,,1.4,1.15,22.52637,22.52638,22.52638,
Kepler-317 b,non-habitable,,12.15,2.08,194.531,194.531,194.531,
Kepler-317 c,non-habitable,,5.68,1.71,105.0733,105.0733,105.0733,
Kepler-318 b,non-habitable,,20.7,4.7,441.6418,441.6419,441.6419,
Kepler-318 c,non-habitable,,9.85,3.67,125.6226,125.6226,125.6226,
Kepler-319 b,non-habitable,,4.65,1.62,260.5421,260.5421,260.5422,
Kepler-319 c,non-habitable,,3.47,2.63,142.3378,142.3378,142.3378,
Kepler-319 d,non-habitable,,17.93,2.28,18.57597,18.57598,18.57598,
Kepler-320 b,non-habitable,,1.35,1.14,262.3567,262.3567,262.3568,
Kepler-320 c,non-habitable,,2.51,1.37,94.00549,94.00552,94.00553,
Kepler-321 b,non-habitable,,6.4,1.77,424.5038,424.5038,424.5039,
Kepler-321 c,non-habitable,,19.11,2.32,113.9845,113.9846,113.9846,
Kepler-322 b,non-habitable,,0.89,1.01,821.5853,821.5853,821.5853,
Kepler-322 c,non-habitable,,5.14,1.67,230.2712,230.2713,230.2713,
Kepler-323 b,non-habitable,,2.97,1.43,2047.269,2047.269,2047.269,
Kepler-323 c,non-habitable,,4.65,1.62,758.5342,758.5343,758.5344,
Kepler-324 b,non-habitable,,1.35,1.14,184.2961,184.2961,184.2961,
Kepler-324 c,non-habitable,,6.12,3.15,6.815684,6.815685,6.815685,
Kepler-325 b,non-habitable,,4.8,2.91,349.6339,349.6339,349.634,
Kepler-325 c,non-habitable,,3.1,2.54,89.08132,89.08133,89.08135,
Kepler-325 d,non-habitable,,4.18,2.79,20.29177,20.29177,20.29177,
Kepler-326 b,non-habitable,,3.69,1.52,380.849,380.849,380.8491,
Kepler-326 c,non-habitable,,2.73,1.4,149.9382,149.9382,149.9383,
Kepler-326 d,non-habitable,,1.65,1.21,89.52923,89.52924,89.52927,
Kepler-327 b,non-habitable,,1.23,1.11,53.35352,53.35353,53.35355,
Kepler-327 c,non-habitable,,0.96,1.03,20.3125,20.3125,20.31251,
Kepler-327 d,non-habitable,,5.82,1.72,5.539546,5.539546,5.539547,
Kepler-328 b,non-habitable,,21.94,2.31,15.61352,15.61352,15.61352,
Kepler-328 c,non-habitable,31.58,31.79,5.41,6.026512,6.026514,6.026514,
Kepler-329 b,non-habitable,,2.73,1.4,21.41171,21.41172,21.41172,
Kepler-329 c,non-habitable,,8.88,1.93,6.239564,6.239564,6.239565,
Kepler-330 b,non-habitable,,2.37,1.34,56.68837,56.68838,56.68839,
Kepler-330 c,non-habitable,,9.29,1.95,23.69739,23.69739,23.6974,
Kepler-331 b,non-habitable,,7.04,1.81,18.20597,18.20597,18.20597,
Kepler-331 c,non-habitable,,7.38,1.84,6.976891,6.976891,6.976893,
Kepler-331 d,non-habitable,,4.77,1.64,3.04261,3.04261,3.04261,
Kepler-332 b,non-habitable,,1.45,1.16,57.2181,57.2181,57.21811,
Kepler-332 c,non-habitable,,1.14,1.09,21.57346,21.57346,21.57346,
Kepler-332 d,non-habitable,,1.49,1.18,7.848847,7.848848,7.848848,
Kepler-333 b,non-habitable,,2.23,1.32,10.95553,10.95554,10.95554,
Kepler-333 c,non-habitable,,1.23,1.11,4.549929,4.549929,4.54993,
Kepler-334 b,non-habitable,,1.27,1.12,318.4754,318.4754,318.4755,
Kepler-334 c,non-habitable,,2.97,1.43,103.5066,103.5066,103.5066,
Kepler-334 d,non-habitable,,2.81,1.41,41.98721,41.98721,41.98722,
Kepler-335 b,non-habitable,,7.65,3.38,651.2286,651.2287,651.2288,
Kepler-335 c,non-habitable,,5.66,3.07,28.90387,28.90387,28.90388,
Kepler-336 b,non-habitable,,0.92,1.02,1649.73,1649.731,1649.731,
Kepler-336 c,non-habitable,,12.42,2.09,212.2586,212.2586,212.2586,
Kepler-336 d,non-habitable,,20.8,2.36,75.75293,75.75294,75.75296,
Kepler-337 b,non-habitable,,3.78,1.53,1432.539,1432.539,1432.539,
Kepler-337 c,non-habitable,,11.37,2.05,335.4019,335.4019,335.402,
Kepler-338 b,non-habitable,30.62,30.62,2.58,225.8051,244.417,264.9971,
Kepler-338 c,non-habitable,,25.7,2.48,106.5214,113.0561,120.1033,
Kepler-338 d,non-habitable,,3.57,2.65,47.71198,50.63894,53.79546,
Kepler-338 e,non-habitable,,8.58,1.59,377.8289,417.058,461.5361,
Kepler-339 b,non-habitable,,2.89,1.42,190.8475,190.8475,190.8475,
Kepler-339 c,non-habitable,,1.4,1.15,121.2589,121.2589,121.259,
Kepler-339 d,non-habitable,,1.45,1.16,69.71545,69.71546,69.71546,
Kepler-340 b,non-habitable,,3.06,2.53,328.4397,328.4397,328.4398,
Kepler-340 c,non-habitable,,7.57,3.37,186.1337,186.1338,186.1338,
Kepler-341 b,non-habitable,,1.49,1.18,338.7378,338.7378,338.7379,
Kepler-341 c,non-habitable,,5.54,1.7,190.54,190.54,190.5401,
Kepler-341 d,non-habitable,,7.56,1.85,36.81488,36.81488,36.81488,
Kepler-341 e,non-habitable,,10.17,1.99,20.82262,20.82262,20.82263,
Kepler-342 b,non-habitable,,16.81,2.25,172.0491,172.0491,172.0491,
Kepler-342 c,non-habitable,,9.51,1.96,82.36237,82.36238,82.3624,
Kepler-342 d,non-habitable,,26.25,2.49,48.13285,48.13285,48.13286,
Kepler-342 e,non-habitable,,0.58,0.88,3497.192,3497.192,3497.192,
Kepler-343 b,non-habitable,,22.64,2.41,269.4039,269.4039,269.404,
Kepler-343 c,non-habitable,,10.64,2.02,74.80597,74.80598,74.80598,
Kepler-344 b,non-habitable,,3.38,2.61,40.91345,40.91346,40.91346,
Kepler-344 c,non-habitable,,4.98,2.95,4.021697,4.021698,4.021698,
Kepler-345 b,non-habitable,,0.32,0.74,32.58208,32.58208,32.58209,
Kepler-345 c,non-habitable,,1.59,1.2,23.93785,23.93786,23.93786,
Kepler-346 b,non-habitable,,3.57,2.65,245.3052,245.3052,245.3053,
Kepler-346 c,non-habitable,,5.66,3.07,43.81319,43.8132,43.81321,
Kepler-347 b,non-habitable,,9.72,1.97,101.8598,101.8599,101.8599,
Kepler-347 c,non-habitable,,6.1,1.75,36.80326,36.80326,36.80327,
Kepler-348 b,non-habitable,,3.69,1.52,418.2644,418.2644,418.2645,
Kepler-348 c,non-habitable,,2.3,1.33,126.8586,126.8586,126.8587,
Kepler-349 b,non-habitable,,8.48,1.9,231.1254,231.1255,231.1255,
Kepler-349 c,non-habitable,,9.51,1.96,88.57188,88.57189,88.57191,
Kepler-350 b,non-habitable,,7.56,1.85,218.9228,218.9228,218.9229,
Kepler-350 c,non-habitable,5.55,5.6,3.1,130.0055,130.0055,130.0056,
Kepler-350 d,non-habitable,,15.26,2.8,78.18585,78.18587,78.18588,
Kepler-351 b,non-habitable,,5.59,3.06,14.35292,14.35292,14.35292,
Kepler-351 c,non-habitable,,6.39,3.19,7.980021,7.980022,7.980024,
Kepler-351 d,non-habitable,,3.87,2.72,2.492044,2.492044,2.492045,
Kepler-352 b,non-habitable,,0.53,0.86,55.75179,55.75179,55.7518,
Kepler-352 c,non-habitable,,1.81,1.24,28.92894,28.92895,28.92895,
Kepler-353 b,non-habitable,,0.58,0.88,20.01168,20.01169,20.01169,
Kepler-353 c,non-habitable,,2.58,1.38,12.31962,12.31962,12.31962,
Kepler-354 b,non-habitable,,7.38,1.84,64.46387,64.46387,64.46388,
Kepler-354 c,non-habitable,,2.17,1.31,14.21373,14.21374,14.21374,
Kepler-354 d,non-habitable,,1.81,1.24,8.81857,8.818572,8.818572,
Kepler-355 b,non-habitable,,3.14,1.46,144.3892,144.3893,144.3893,
Kepler-355 c,non-habitable,,3.82,2.71,46.88448,46.88449,46.88449,
Kepler-356 b,non-habitable,,4.09,1.57,691.0911,691.0911,691.0912,
Kepler-356 c,non-habitable,,6.88,1.8,169.7811,169.7811,169.7811,
Kepler-357 b,non-habitable,,7.38,1.84,100.1631,100.1631,100.1631,
Kepler-357 c,non-habitable,,3.62,2.67,27.60746,27.60746,27.60746,
Kepler-357 d,non-habitable,,7.97,3.43,6.569293,6.569293,6.569295,
Kepler-358 b,non-habitable,,3.87,2.72,22.36971,22.36971,22.36971,
Kepler-358 c,non-habitable,,4.45,2.84,6.795931,6.795931,6.795932,
Kepler-359 b,non-habitable,,8.7,3.53,51.27042,51.27043,51.27044,
Kepler-359 c,non-habitable,,15.83,4.3,17.23575,17.23575,17.23575,
Kepler-359 d,non-habitable,,12.83,4.01,11.73873,11.73873,11.73873,
Kepler-360 b,non-habitable,,4.89,1.65,699.0027,699.0028,699.0029,
Kepler-360 c,non-habitable,,12.42,2.09,240.5812,240.5812,240.5813,
Kepler-361 b,non-habitable,,3.05,1.44,315.4726,315.4726,315.4726,
Kepler-361 c,non-habitable,,3.02,2.52,25.92483,25.92483,25.92484,
Kepler-362 b,non-habitable,,0.58,0.88,68.96526,68.96526,68.96526,
Kepler-362 c,non-habitable,,3.05,1.44,12.18227,12.18227,12.18227,
Kepler-363 b,non-habitable,,1.4,1.15,845.9781,845.9782,845.9783,
Kepler-363 c,non-habitable,,5.4,1.69,312.311,312.3111,312.3112,
Kepler-363 d,non-habitable,,11.37,2.05,170.2449,170.2449,170.2449,
Kepler-364 b,non-habitable,,3.88,1.55,64.5752,64.57522,64.57523,
Kepler-364 c,non-habitable,,13.85,2.15,21.01826,21.01826,21.01826,
Kepler-365 b,non-habitable,,11.12,2.04,134.5526,134.5526,134.5527,
Kepler-365 c,non-habitable,,4.77,1.64,68.84988,68.8499,68.84991,
Kepler-366 b,non-habitable,,3.14,1.46,725.9891,725.9891,725.9893,
Kepler-366 c,non-habitable,,6.72,1.79,121.4982,121.4982,121.4982,
Kepler-367 b,non-habitable,,2.1,1.3,5.203308,5.203308,5.203308,
Kepler-367 c,non-habitable,,1.59,1.2,3.284207,3.284207,3.284208,
Kepler-368 b,non-habitable,,6.82,3.26,96.9726,96.9726,96.97261,
Kepler-368 c,non-habitable,,11.57,3.88,25.8863,25.8863,25.8863,
Kepler-369 b,non-habitable,,1.31,1.13,36.61884,36.61884,36.61885,
Kepler-369 c,non-habitable,,2.81,1.41,3.72985,3.72985,3.729851,
Kepler-370 b,non-habitable,,4.31,1.59,292.2838,292.2838,292.2838,
Kepler-370 c,non-habitable,,8.48,1.9,43.48466,43.48466,43.48467,
Kepler-371 b,non-habitable,,8.29,1.89,22.65721,22.65722,22.65722,
Kepler-371 c,non-habitable,,6.56,1.78,9.250769,9.250771,9.250771,
Kepler-372 b,non-habitable,,2.44,1.36,372.078,372.078,372.0781,
Kepler-372 c,non-habitable,,12.15,2.08,88.25007,88.25008,88.2501,
Kepler-372 d,non-habitable,,5.4,1.69,51.80414,51.80414,51.80414,
Kepler-373 b,non-habitable,,2.44,1.36,197.224,197.224,197.224,
Kepler-373 c,non-habitable,,1.81,1.24,44.72198,44.72199,44.722,
Kepler-374 b,non-habitable,,0.96,1.03,1127.482,1127.482,1127.482,
Kepler-374 c,non-habitable,,1.18,1.1,537.5353,537.5354,537.5355,
Kepler-374 d,non-habitable,,2.17,1.31,302.3637,302.3637,302.3637,
Kepler-375 b,non-habitable,,3.05,1.44,71.49694,71.49696,71.49696,
Kepler-375 c,non-habitable,,3.52,2.64,36.6853,36.6853,36.68531,
Kepler-376 b,non-habitable,,1.07,1.06,465.9209,465.9209,465.921,
Kepler-376 c,non-habitable,,6.72,1.79,114.4633,114.4633,114.4633,
Kepler-377 b,non-habitable,,2.65,1.39,140.7772,140.7772,140.7773,
Kepler-377 c,non-habitable,,11.62,2.06,50.49432,50.49433,50.49433,
Kepler-378 b,non-habitable,,0.34,0.75,15.15374,15.15374,15.15374,
Kepler-378 c,non-habitable,,0.27,0.69,6.898261,6.898262,6.898262,
Kepler-379 b,non-habitable,,5.02,1.66,89.51894,89.51894,89.51895,
Kepler-379 c,non-habitable,,17.93,2.28,19.46108,19.46108,19.46108,
Kepler-380 b,non-habitable,,1.54,1.19,713.2713,713.2714,713.2715,
Kepler-380 c,non-habitable,,1.92,1.27,293.0931,293.0931,293.0931,
Kepler-381 b,non-habitable,,0.83,0.99,727.2211,727.2212,727.2214,
Kepler-381 c,non-habitable,,1.27,1.12,231.4103,231.4103,231.4103,
Kepler-382 b,non-habitable,,2.23,1.32,257.7343,257.7344,257.7344,
Kepler-382 c,non-habitable,,4.31,1.59,82.86178,82.86178,82.86179,
Kepler-383 b,non-habitable,,2.23,1.32,21.9622,21.9622,21.9622,
Kepler-383 c,non-habitable,,1.81,1.24,6.699866,6.699866,6.699867,
Kepler-384 b,non-habitable,,1.27,1.12,30.68558,30.68558,30.68559,
Kepler-384 c,non-habitable,,1.31,1.13,12.06796,12.06796,12.06796,
Kepler-385 b,non-habitable,,3.92,2.73,194.9935,194.9935,194.9935,
Kepler-385 c,non-habitable,,5.46,3.04,113.7512,113.7512,113.7513,
Kepler-386 b,non-habitable,,2.65,1.39,41.49321,41.49321,41.49322,
Kepler-386 c,non-habitable,,4.2,1.58,15.91681,15.91681,15.91682,
Kepler-387 b,non-habitable,,0.96,1.03,237.7703,237.7704,237.7704,
