P. Name,P. Habitable Class,P. Min Mass (EU),S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. Hab Zone Min (AU),S. Hab Zone Max (AU),
Kepler-256 c,non-habitable,,1.02,1.3,5551,1.439665,0.913,2.164,
Kepler-256 d,non-habitable,,1.02,1.3,5551,1.439665,0.913,2.164,
Kepler-256 e,non-habitable,,1.02,1.3,5551,1.439665,0.913,2.164,
Kepler-257 b,non-habitable,,0.92,1.04,5180,0.698676,0.649,1.558,
Kepler-257 c,non-habitable,,0.89,1.04,5180,0.698676,0.649,1.558,
Kepler-257 d,non-habitable,,0.9,1.04,5180,0.698676,0.649,1.558,
Kepler-258 b,non-habitable,,0.8,0.92,4942,0.452977,0.529,1.281,
Kepler-258 c,non-habitable,,0.8,0.92,4942,0.452977,0.529,1.281,
Kepler-259 b,non-habitable,,1,0.9,5938,0.903516,0.706,1.658,
Kepler-259 c,non-habitable,,1,0.9,5938,0.903516,0.706,1.658,
Kepler-260 b,non-habitable,,0.88,0.86,5250,0.504109,0.549,1.315,
Kepler-260 c,non-habitable,,0.88,0.86,5250,0.504109,0.549,1.315,
Kepler-261 b,non-habitable,,0.87,0.79,5098,0.378219,0.479,1.155,
Kepler-261 c,non-habitable,,0.87,0.79,5098,0.378219,0.479,1.155,
Kepler-262 b,non-habitable,,0.99,0.88,5841,0.808731,0.672,1.581,
Kepler-262 c,non-habitable,,0.98,0.88,5841,0.808731,0.672,1.581,
Kepler-263 b,non-habitable,,0.84,0.79,5265,0.430266,0.507,1.213,
Kepler-263 c,non-habitable,,0.84,0.79,5265,0.430266,0.507,1.213,
Kepler-264 b,non-habitable,,1.32,1.55,6158,3.099645,1.291,3.015,
Kepler-264 c,non-habitable,,1.32,1.55,6158,3.099645,1.291,3.015,
Kepler-265 b,non-habitable,,1.03,1.1,5835,1.258458,0.839,1.974,
Kepler-265 c,non-habitable,,1.03,1.1,5835,1.258458,0.839,1.974,
Kepler-265 d,non-habitable,,1.03,1.1,5835,1.258458,0.839,1.974,
Kepler-265 e,non-habitable,,1.03,1.1,5835,1.258458,0.839,1.974,
Kepler-266 b,non-habitable,,0.99,1.03,5885,1.141695,0.797,1.872,
Kepler-266 c,non-habitable,,0.99,1.03,5885,1.141695,0.797,1.872,
Kepler-267 b,non-habitable,,0.56,0.56,4258,0.092489,0.245,0.612,
Kepler-267 c,non-habitable,,0.56,0.56,4258,0.092489,0.245,0.612,
Kepler-267 d,non-habitable,,0.56,0.56,4258,0.092489,0.245,0.612,
Kepler-268 b,non-habitable,,1.16,1.27,6081,1.978779,1.036,2.424,
Kepler-268 c,non-habitable,,1.15,1.27,6081,1.978779,1.036,2.424,
Kepler-269 b,non-habitable,,0.98,0.96,5847,0.966417,0.735,1.728,
Kepler-269 c,non-habitable,,0.98,0.96,5847,0.966417,0.735,1.728,
Kepler-270 b,non-habitable,,1.24,1.46,6067,2.591145,1.187,2.777,
Kepler-270 c,non-habitable,,1.22,1.46,6067,2.591145,1.187,2.777,
Kepler-271 b,non-habitable,,0.86,0.88,5524,0.646949,0.613,1.454,
Kepler-271 c,non-habitable,,0.87,0.88,5524,0.646949,0.613,1.454,
Kepler-271 d,non-habitable,,,0.88,5524,0.646949,0.613,1.454,
Kepler-272 b,non-habitable,,0.79,0.93,5297,0.610908,0.603,1.442,
Kepler-272 c,non-habitable,,0.79,0.93,5297,0.610908,0.603,1.442,
Kepler-272 d,non-habitable,,0.79,0.93,5297,0.610908,0.603,1.442,
Kepler-273 b,non-habitable,,0.78,0.81,5626,0.589738,0.582,1.376,
Kepler-273 c,non-habitable,,0.81,0.81,5626,0.589738,0.582,1.376,
Kepler-274 b,non-habitable,,1.02,1.01,6023,1.204437,0.811,1.9,
Kepler-274 c,non-habitable,,1.03,1.01,6023,1.204437,0.811,1.9,
Kepler-275 b,non-habitable,,1.24,1.38,6165,2.4682,1.152,2.689,
Kepler-275 c,non-habitable,,1.24,1.38,6165,2.4682,1.152,2.689,
Kepler-275 d,non-habitable,,1.24,1.38,6165,2.4682,1.152,2.689,
Kepler-276 b,non-habitable,,0.96,0.95,5812,0.923931,0.72,1.695,
Kepler-276 c,non-habitable,,0.96,0.95,5812,0.923931,0.72,1.695,
Kepler-276 d,non-habitable,,0.96,0.95,5812,0.923931,0.72,1.695,
Kepler-277 b,non-habitable,,1.19,1.65,6306,3.862545,1.428,3.326,
Kepler-277 c,non-habitable,,1.19,1.65,6306,3.862545,1.428,3.326,
Kepler-278 b,non-habitable,,1.3,2.94,4991,4.812101,1.719,4.157,
Kepler-278 c,non-habitable,,1.3,2.94,4991,4.812101,1.719,4.157,
Kepler-279 b,non-habitable,,1.23,1.27,6562,2.683133,1.173,2.72,
Kepler-279 c,non-habitable,,1.23,1.27,6562,2.683133,1.173,2.72,
Kepler-279 d,non-habitable,,1.23,1.27,6562,2.683133,1.173,2.72,
Kepler-280 b,non-habitable,,0.91,0.89,5744,0.77362,0.661,1.56,
Kepler-280 c,non-habitable,,0.91,0.89,5744,0.77362,0.661,1.56,
Kepler-281 b,non-habitable,,0.98,0.9,5723,0.779596,0.665,1.569,
Kepler-281 c,non-habitable,,0.98,0.9,5723,0.779596,0.665,1.569,
Kepler-282 b,non-habitable,,1.09,1.01,5876,1.091088,0.779,1.831,
Kepler-282 c,non-habitable,,1.09,1.01,5876,1.091088,0.779,1.831,
Kepler-282 d,non-habitable,,1.09,1.01,5876,1.091088,0.779,1.831,
Kepler-282 e,non-habitable,,1.09,1.01,5876,1.091088,0.779,1.831,
Kepler-283 b,non-habitable,,0.61,0.57,4351,0.104471,0.26,0.646,
Kepler-283 c,mesoplanet,,0.62,0.57,4351,0.104471,0.26,0.646,
Kepler-284 b,non-habitable,,0.93,0.81,5615,0.585139,0.58,1.372,
Kepler-284 c,non-habitable,,0.92,0.81,5615,0.585139,0.58,1.372,
Kepler-285 b,non-habitable,,0.85,0.81,5411,0.504626,0.545,1.297,
Kepler-285 c,non-habitable,,0.85,0.81,5411,0.504626,0.545,1.297,
Kepler-286 b,non-habitable,,0.81,0.86,5580,0.643315,0.609,1.443,
Kepler-286 c,non-habitable,,0.82,0.86,5580,0.643315,0.609,1.443,
Kepler-286 d,non-habitable,,0.87,0.86,5580,0.643315,0.609,1.443,
Kepler-286 e,non-habitable,,0.85,0.86,5580,0.643315,0.609,1.443,
Kepler-287 b,non-habitable,,0.98,1.03,5806,1.081614,0.779,1.834,
Kepler-287 c,non-habitable,,0.99,1.03,5806,1.081614,0.779,1.834,
Kepler-288 b,non-habitable,,0.89,1.09,5918,1.307503,0.851,1.998,
Kepler-288 c,non-habitable,,0.89,1.09,5918,1.307503,0.851,1.998,
Kepler-288 d,non-habitable,,0.89,1.09,5918,1.307503,0.851,1.998,
Kepler-289 b,non-habitable,,1.08,1,5990,1.155041,0.796,1.866,
Kepler-289 c,non-habitable,,1.08,1,5990,1.155041,0.796,1.866,
Kepler-289 d,non-habitable,,1.08,1,5990,1.155041,0.796,1.866,
Kepler-290 b,non-habitable,,0.83,0.74,5147,0.344802,0.457,1.098,
Kepler-290 c,non-habitable,,0.85,0.74,5147,0.344802,0.457,1.098,
Kepler-291 b,non-habitable,,1.03,1.02,6002,1.211362,0.815,1.909,
Kepler-291 c,non-habitable,,1.03,1.02,6002,1.211362,0.815,1.909,
Kepler-292 b,non-habitable,,0.88,0.83,5299,0.487328,0.539,1.288,
Kepler-292 c,non-habitable,,0.88,0.83,5299,0.487328,0.539,1.288,
Kepler-292 d,non-habitable,,0.88,0.83,5299,0.487328,0.539,1.288,
Kepler-292 e,non-habitable,,0.88,0.83,5299,0.487328,0.539,1.288,
Kepler-292 f,non-habitable,,0.88,0.83,5299,0.487328,0.539,1.288,
Kepler-293 b,non-habitable,,1.01,0.96,5804,0.9383,0.726,1.709,
Kepler-293 c,non-habitable,,1.01,0.96,5804,0.9383,0.726,1.709,
Kepler-294 b,non-habitable,,1.08,0.98,5913,1.053352,0.764,1.794,
Kepler-294 c,non-habitable,,1.09,0.98,5913,1.053352,0.764,1.794,
Kepler-295 b,non-habitable,,0.81,0.9,5603,0.716238,0.642,1.519,
Kepler-295 c,non-habitable,,0.82,0.9,5603,0.716238,0.642,1.519,
Kepler-295 d,non-habitable,,0.82,0.9,5603,0.716238,0.642,1.519,
Kepler-296 b,non-habitable,,0.6,0.56,4249,0.091709,0.244,0.61,
Kepler-296 c,non-habitable,,0.62,0.56,4249,0.091709,0.244,0.61,
Kepler-296 d,non-habitable,,0.62,0.56,4249,0.091709,0.244,0.61,
Kepler-296 e,mesoplanet,,0.45,0.43,3572,0.027,0.134,0.347,
Kepler-296 f,psychroplanet,,0.45,0.43,3572,0.027,0.134,0.347,
Kepler-297 b,non-habitable,,0.9,0.92,5619,0.75701,0.659,1.56,
Kepler-297 c,non-habitable,,0.9,0.92,5619,0.75701,0.659,1.56,
Kepler-298 b,non-habitable,,0.65,0.58,4465,0.119959,0.277,0.686,
Kepler-298 c,non-habitable,,0.65,0.58,4465,0.119959,0.277,0.686,
Kepler-298 d,mesoplanet,,0.65,0.58,4465,0.119959,0.277,0.686,
Kepler-299 b,non-habitable,,0.97,1.03,5617,0.947506,0.738,1.745,
Kepler-299 c,non-habitable,,0.97,1.03,5617,0.947506,0.738,1.745,
Kepler-299 d,non-habitable,,0.97,1.03,5617,0.947506,0.738,1.745,
Kepler-299 e,non-habitable,,0.97,1.03,5617,0.947506,0.738,1.745,
Kepler-300 b,non-habitable,,0.94,0.9,5986,0.933086,0.716,1.678,
Kepler-300 c,non-habitable,,0.94,0.9,5986,0.933086,0.716,1.678,
Kepler-301 b,non-habitable,,0.91,0.9,5815,0.830948,0.683,1.607,
Kepler-301 c,non-habitable,,0.91,0.9,5815,0.830948,0.683,1.607,
Kepler-301 d,non-habitable,,0.91,0.9,5815,0.830948,0.683,1.607,
Kepler-302 b,non-habitable,,1.05,1.22,5740,1.44963,0.906,2.136,
Kepler-302 c,non-habitable,,1.05,1.22,5740,1.44963,0.906,2.136,
Kepler-303 b,non-habitable,,0.59,0.48,3944,0.050017,0.182,0.461,
Kepler-303 c,non-habitable,,0.59,0.48,3944,0.050017,0.182,0.461,
Kepler-304 b,non-habitable,,0.8,0.69,4731,0.213993,0.367,0.897,
Kepler-304 c,non-habitable,,0.8,0.69,4731,0.213993,0.367,0.897,
Kepler-304 d,non-habitable,,0.8,0.69,4731,0.213993,0.367,0.897,
Kepler-304 e,non-habitable,,0.8,0.69,4731,0.213993,0.367,0.897,
Kepler-305 b,non-habitable,,0.83,0.87,4918,0.397267,0.496,1.202,
Kepler-305 c,non-habitable,,0.83,0.87,4918,0.397267,0.496,1.202,
Kepler-305 d,non-habitable,,0.83,0.87,4918,0.397267,0.496,1.202,
Kepler-306 b,non-habitable,,0.82,0.72,4954,0.280142,0.415,1.006,
Kepler-306 c,non-habitable,,0.82,0.72,4954,0.280142,0.415,1.006,
Kepler-306 d,non-habitable,,0.82,0.72,4954,0.280142,0.415,1.006,
Kepler-306 e,non-habitable,,0.82,0.72,4954,0.280142,0.415,1.006,
Kepler-307 b,non-habitable,,0.78,1.03,5445,0.836673,0.7,1.665,
Kepler-307 c,non-habitable,,0.78,1.03,5445,0.836673,0.7,1.665,
Kepler-308 b,non-habitable,,1.04,0.94,5895,0.957372,0.729,1.713,
Kepler-308 c,non-habitable,,1.05,0.94,5895,0.957372,0.729,1.713,
Kepler-309 b,non-habitable,,0.78,0.72,4713,0.22948,0.38,0.93,
Kepler-309 c,non-habitable,,0.78,0.72,4713,0.22948,0.38,0.93,
Kepler-310 b,non-habitable,,0.85,0.88,5797,0.784636,0.664,1.564,
Kepler-310 c,non-habitable,,0.85,0.88,5797,0.784636,0.664,1.564,
Kepler-310 d,non-habitable,,0.85,0.88,5797,0.784636,0.664,1.564,
Kepler-311 b,non-habitable,,1.06,1.19,5905,1.544768,0.926,2.174,
Kepler-311 c,non-habitable,,1.06,1.19,5905,1.544768,0.926,2.174,
Kepler-312 b,non-habitable,,1.23,1.47,6115,2.710881,1.211,2.829,
Kepler-312 c,non-habitable,,1.23,1.47,6115,2.710881,1.211,2.829,
Kepler-313 b,non-habitable,,0.9,1.54,5727,2.28897,1.139,2.687,
Kepler-313 c,non-habitable,,0.9,1.54,5727,2.28897,1.139,2.687,
Kepler-314 b,non-habitable,,1.02,0.95,5378,0.677361,0.632,1.507,
Kepler-314 c,non-habitable,,1.02,0.95,5378,0.677361,0.632,1.507,
Kepler-315 b,non-habitable,,0.78,1.04,5796,1.095141,0.785,1.847,
Kepler-315 c,non-habitable,,0.78,1.04,5796,1.095141,0.785,1.847,
Kepler-316 b,non-habitable,,0.53,0.52,4204,0.075779,0.222,0.557,
Kepler-316 c,non-habitable,,0.53,0.52,4204,0.075779,0.222,0.557,
Kepler-317 b,non-habitable,,0.95,0.94,5497,0.72385,0.649,1.542,
Kepler-317 c,non-habitable,,0.95,0.94,5497,0.72385,0.649,1.542,
Kepler-318 b,non-habitable,,1.05,1.19,5746,1.384989,0.885,2.087,
Kepler-318 c,non-habitable,,1.05,1.19,5746,1.384989,0.885,2.087,
Kepler-319 b,non-habitable,,1.29,0.9,5526,0.67767,0.627,1.488,
Kepler-319 c,non-habitable,,1.29,0.9,5526,0.67767,0.627,1.488,
Kepler-319 d,non-habitable,,1.29,0.9,5526,0.67767,0.627,1.488,
Kepler-320 b,non-habitable,,1.17,1.11,6435,1.895527,0.993,2.307,
Kepler-320 c,non-habitable,,1.19,1.11,6435,1.895527,0.993,2.307,
Kepler-321 b,non-habitable,,1.01,1.19,5740,1.379213,0.883,2.083,
Kepler-321 c,non-habitable,,1.01,1.19,5740,1.379213,0.883,2.083,
Kepler-322 b,non-habitable,,0.91,0.89,5388,0.598936,0.594,1.416,
Kepler-322 c,non-habitable,,0.91,0.89,5388,0.598936,0.594,1.416,
Kepler-323 b,non-habitable,,1.09,1.18,5987,1.605059,0.939,2.2,
Kepler-323 c,non-habitable,,1.09,1.18,5987,1.605059,0.939,2.2,
Kepler-324 b,non-habitable,,0.86,0.84,5194,0.46074,0.527,1.264,
Kepler-324 c,non-habitable,,0.86,0.84,5194,0.46074,0.527,1.264,
Kepler-325 b,non-habitable,,0.87,1,5752,0.982122,0.745,1.756,
Kepler-325 c,non-habitable,,0.87,1,5752,0.982122,0.745,1.756,
Kepler-325 d,non-habitable,,0.87,1,5752,0.982122,0.745,1.756,
Kepler-326 b,non-habitable,,0.98,0.8,5105,0.389989,0.487,1.172,
Kepler-326 c,non-habitable,,0.98,0.8,5105,0.389989,0.487,1.172,
Kepler-326 d,non-habitable,,0.98,0.8,5105,0.389989,0.487,1.172,
Kepler-327 b,non-habitable,,0.55,0.49,3799,0.04487,0.172,0.441,
Kepler-327 c,non-habitable,,0.55,0.49,3799,0.04487,0.172,0.441,
Kepler-327 d,non-habitable,,0.55,0.49,3799,0.04487,0.172,0.441,
Kepler-328 b,non-habitable,,0.98,0.97,5314,0.673162,0.632,1.511,
Kepler-328 c,non-habitable,31.58,0.98,0.97,5314,0.673162,0.632,1.511,
Kepler-329 b,non-habitable,,0.53,0.52,4257,0.079673,0.227,0.569,
Kepler-329 c,non-habitable,,0.53,0.52,4257,0.079673,0.227,0.569,
Kepler-330 b,non-habitable,,0.78,0.72,5117,0.318872,0.44,1.058,
Kepler-330 c,non-habitable,,0.78,0.72,5117,0.318872,0.44,1.058,
Kepler-331 b,non-habitable,,0.51,0.49,4347,0.07692,0.223,0.555,
Kepler-331 c,non-habitable,,0.51,0.49,4347,0.07692,0.223,0.555,
Kepler-331 d,non-habitable,,0.51,0.49,4347,0.07692,0.223,0.555,
Kepler-332 b,non-habitable,,0.8,0.72,4955,0.280369,0.416,1.007,
Kepler-332 c,non-habitable,,0.8,0.72,4955,0.280369,0.416,1.007,
Kepler-332 d,non-habitable,,0.8,0.72,4955,0.280369,0.416,1.007,
Kepler-333 b,non-habitable,,0.54,0.53,4259,0.082922,0.232,0.58,
Kepler-333 c,non-habitable,,0.54,0.53,4259,0.082922,0.232,0.58,
Kepler-334 b,non-habitable,,1,1.07,5828,1.185047,0.814,1.916,
Kepler-334 c,non-habitable,,1,1.07,5828,1.185047,0.814,1.916,
Kepler-334 d,non-habitable,,1,1.07,5828,1.185047,0.814,1.916,
Kepler-335 b,non-habitable,,0.99,1.85,5877,3.663161,1.428,3.355,
Kepler-335 c,non-habitable,,0.99,1.85,5877,3.663161,1.428,3.355,
Kepler-336 b,non-habitable,,0.89,1.3,5867,1.796557,1,2.352,
Kepler-336 c,non-habitable,,0.89,1.3,5867,1.796557,1,2.352,
Kepler-336 d,non-habitable,,0.89,1.3,5867,1.796557,1,2.352,
Kepler-337 b,non-habitable,,0.96,1.76,5684,2.900891,1.285,3.036,
Kepler-337 c,non-habitable,,0.96,1.76,5684,2.900891,1.285,3.036,
Kepler-338 b,non-habitable,30.62,1.1,1.74,5923,3.343146,1.36,3.193,
Kepler-338 c,non-habitable,,1.1,1.74,5923,3.343146,1.36,3.193,
Kepler-338 d,non-habitable,,1.1,1.74,5923,3.343146,1.36,3.193,
Kepler-338 e,non-habitable,,1.1,1.74,5923,3.343146,1.36,3.193,
Kepler-339 b,non-habitable,,0.84,0.8,5631,0.577314,0.575,1.361,
Kepler-339 c,non-habitable,,0.84,0.8,5631,0.577314,0.575,1.361,
Kepler-339 d,non-habitable,,0.84,0.8,5631,0.577314,0.575,1.361,
Kepler-340 b,non-habitable,,2.11,1.85,6620,5.897463,1.733,4.016,
Kepler-340 c,non-habitable,,2.11,1.85,6620,5.897463,1.733,4.016,
Kepler-341 b,non-habitable,,0.94,1.02,6012,1.219456,0.817,1.914,
Kepler-341 c,non-habitable,,0.94,1.02,6012,1.219456,0.817,1.914,
Kepler-341 d,non-habitable,,0.94,1.02,6012,1.219456,0.817,1.914,
Kepler-341 e,non-habitable,,0.94,1.02,6012,1.219456,0.817,1.914,
Kepler-342 b,non-habitable,,1.13,1.47,6175,2.818853,1.23,2.871,
Kepler-342 c,non-habitable,,1.13,1.47,6175,2.818853,1.23,2.871,
Kepler-342 d,non-habitable,,1.13,1.47,6175,2.818853,1.23,2.871,
Kepler-342 e,non-habitable,,1.13,1.47,6175,2.818853,1.23,2.871,
Kepler-343 b,non-habitable,,1.04,1.43,5807,2.086264,1.082,2.547,
Kepler-343 c,non-habitable,,1.04,1.43,5807,2.086264,1.082,2.547,
Kepler-344 b,non-habitable,,0.9,0.98,5774,0.957743,0.735,1.731,
Kepler-344 c,non-habitable,,0.9,0.98,5774,0.957743,0.735,1.731,
Kepler-345 b,non-habitable,,0.59,0.62,4504,0.141928,0.301,0.744,
Kepler-345 c,non-habitable,,0.59,0.62,4504,0.141928,0.301,0.744,
Kepler-346 b,non-habitable,,0.97,1.02,6033,1.236584,0.822,1.924,
Kepler-346 c,non-habitable,,0.97,1.02,6033,1.236584,0.822,1.924,
Kepler-347 b,non-habitable,,1.04,1,6088,1.232504,0.818,1.912,
Kepler-347 c,non-habitable,,1.04,1,6088,1.232504,0.818,1.912,
Kepler-348 b,non-habitable,,1.15,1.36,6177,2.415896,1.138,2.658,
Kepler-348 c,non-habitable,,1.15,1.36,6177,2.415896,1.138,2.658,
Kepler-349 b,non-habitable,,0.97,0.93,5956,0.976505,0.734,1.721,
Kepler-349 c,non-habitable,,0.97,0.93,5956,0.976505,0.734,1.721,
Kepler-350 b,non-habitable,,1.03,1.33,6215,2.367869,1.125,2.623,
Kepler-350 c,non-habitable,5.55,1.03,1.33,6215,2.367869,1.125,2.623,
Kepler-350 d,non-habitable,,1.03,1.33,6215,2.367869,1.125,2.623,
Kepler-351 b,non-habitable,,0.89,0.85,5643,0.657306,0.613,1.45,
Kepler-351 c,non-habitable,,0.89,0.85,5643,0.657306,0.613,1.45,
Kepler-351 d,non-habitable,,0.89,0.85,5643,0.657306,0.613,1.45,
Kepler-352 b,non-habitable,,0.79,0.78,5212,0.402807,0.492,1.18,
Kepler-352 c,non-habitable,,0.79,0.78,5212,0.402807,0.492,1.18,
Kepler-353 b,non-habitable,,0.54,0.5,3903,0.05205,0.185,0.472,
Kepler-353 c,non-habitable,,0.54,0.5,3903,0.05205,0.185,0.472,
Kepler-354 b,non-habitable,,0.65,0.67,4648,0.187977,0.345,0.846,
Kepler-354 c,non-habitable,,0.65,0.67,4648,0.187977,0.345,0.846,
Kepler-354 d,non-habitable,,0.65,0.67,4648,0.187977,0.345,0.846,
Kepler-355 b,non-habitable,,1.05,1.07,6184,1.502226,0.897,2.094,
Kepler-355 c,non-habitable,,1.05,1.07,6184,1.502226,0.897,2.094,
Kepler-356 b,non-habitable,,0.97,1.33,6133,2.245355,1.101,2.571,
Kepler-356 c,non-habitable,,0.97,1.33,6133,2.245355,1.101,2.571,
Kepler-357 b,non-habitable,,0.78,0.83,5036,0.397547,0.493,1.19,
Kepler-357 c,non-habitable,,0.78,0.83,5036,0.397547,0.493,1.19,
Kepler-357 d,non-habitable,,0.78,0.83,5036,0.397547,0.493,1.19,
Kepler-358 b,non-habitable,,0.95,0.95,5908,0.986504,0.74,1.737,
Kepler-358 c,non-habitable,,0.95,0.95,5908,0.986504,0.74,1.737,
Kepler-359 b,non-habitable,,1.07,1.09,6248,1.624452,0.93,2.167,
Kepler-359 c,non-habitable,,1.07,1.09,6248,1.624452,0.93,2.167,
Kepler-359 d,non-habitable,,1.07,1.09,6248,1.624452,0.93,2.167,
Kepler-360 b,non-habitable,,0.95,1.06,6053,1.353269,0.859,2.009,
Kepler-360 c,non-habitable,,0.95,1.06,6053,1.353269,0.859,2.009,
Kepler-361 b,non-habitable,,1.07,1.34,6169,2.333235,1.119,2.613,
Kepler-361 c,non-habitable,,1.07,1.34,6169,2.333235,1.119,2.613,
Kepler-362 b,non-habitable,,0.77,0.72,5788,0.521998,0.542,1.276,
Kepler-362 c,non-habitable,,0.77,0.72,5788,0.521998,0.542,1.276,
Kepler-363 b,non-habitable,,1.23,1.49,5593,1.949134,1.059,2.509,
Kepler-363 c,non-habitable,,1.23,1.49,5593,1.949134,1.059,2.509,
Kepler-363 d,non-habitable,,1.23,1.49,5593,1.949134,1.059,2.509,
Kepler-364 b,non-habitable,,1.2,1.28,6108,2.046001,1.052,2.459,
Kepler-364 c,non-habitable,,1.2,1.28,6108,2.046001,1.052,2.459,
Kepler-365 b,non-habitable,,0.99,1.05,6012,1.292244,0.841,1.97,
Kepler-365 c,non-habitable,,0.99,1.05,6012,1.292244,0.841,1.97,
Kepler-366 b,non-habitable,,1.05,1.05,6209,1.470128,0.886,2.068,
Kepler-366 c,non-habitable,,1.05,1.05,6209,1.470128,0.886,2.068,
Kepler-367 b,non-habitable,,0.75,0.69,4710,0.210219,0.364,0.89,
Kepler-367 c,non-habitable,,0.75,0.69,4710,0.210219,0.364,0.89,
Kepler-368 b,non-habitable,,0.71,2.02,5502,3.354864,1.397,3.318,
Kepler-368 c,non-habitable,,0.71,2.02,5502,3.354864,1.397,3.318,
Kepler-369 b,non-habitable,,0.54,0.47,3591,0.032957,0.148,0.383,
Kepler-369 c,non-habitable,,0.54,0.47,3591,0.032957,0.148,0.383,
Kepler-370 b,non-habitable,,0.94,0.9,5852,0.852299,0.69,1.622,
Kepler-370 c,non-habitable,,0.94,0.9,5852,0.852299,0.69,1.622,
Kepler-371 b,non-habitable,,0.94,0.99,5666,0.906289,0.719,1.7,
Kepler-371 c,non-habitable,,0.94,0.99,5666,0.906289,0.719,1.7,
Kepler-372 b,non-habitable,,1.15,1.14,6509,2.092939,1.039,2.411,
Kepler-372 c,non-habitable,,1.15,1.14,6509,2.092939,1.039,2.411,
Kepler-372 d,non-habitable,,1.15,1.14,6509,2.092939,1.039,2.411,
Kepler-373 b,non-habitable,,0.87,0.84,5787,0.710006,0.632,1.489,
Kepler-373 c,non-habitable,,0.87,0.84,5787,0.710006,0.632,1.489,
Kepler-374 b,non-habitable,,0.84,0.91,5977,0.948212,0.722,1.693,
Kepler-374 c,non-habitable,,0.84,0.91,5977,0.948212,0.722,1.693,
Kepler-374 d,non-habitable,,0.84,0.91,5977,0.948212,0.722,1.693,
Kepler-375 b,non-habitable,,0.89,0.84,5826,0.72934,0.639,1.504,
Kepler-375 c,non-habitable,,0.89,0.84,5826,0.72934,0.639,1.504,
Kepler-376 b,non-habitable,,1.05,1.18,5900,1.513777,0.917,2.153,
Kepler-376 c,non-habitable,,1.05,1.18,5900,1.513777,0.917,2.153,
Kepler-377 b,non-habitable,,0.88,1.22,5949,1.672574,0.961,2.253,
Kepler-377 c,non-habitable,,0.88,1.22,5949,1.672574,0.961,2.253,
Kepler-378 b,non-habitable,,0.96,0.67,4661,0.190088,0.347,0.85,
Kepler-378 c,non-habitable,,0.96,0.67,4661,0.190088,0.347,0.85,
Kepler-379 b,non-habitable,,1.08,1.31,6054,2.068246,1.061,2.484,
Kepler-379 c,non-habitable,,1.08,1.31,6054,2.068246,1.061,2.484,
Kepler-380 b,non-habitable,,1.05,1.22,6045,1.783179,0.986,2.308,
Kepler-380 c,non-habitable,,1.05,1.22,6045,1.783179,0.986,2.308,
Kepler-381 b,non-habitable,,1.34,1.57,6152,3.167776,1.306,3.049,
Kepler-381 c,non-habitable,,1.34,1.57,6152,3.167776,1.306,3.049,
Kepler-382 b,non-habitable,,0.8,0.94,5600,0.779646,0.67,1.586,
Kepler-382 c,non-habitable,,0.8,0.94,5600,0.779646,0.67,1.586,
Kepler-383 b,non-habitable,,0.67,0.67,4710,0.198209,0.353,0.864,
Kepler-383 c,non-habitable,,0.67,0.67,4710,0.198209,0.353,0.864,
Kepler-384 b,non-habitable,,0.76,0.88,5577,0.672137,0.623,1.475,
Kepler-384 c,non-habitable,,0.76,0.88,5577,0.672137,0.623,1.475,
Kepler-385 b,non-habitable,,1.09,1.13,6326,1.834694,0.983,2.289,
Kepler-385 c,non-habitable,,1.09,1.13,6326,1.834694,0.983,2.289,
Kepler-386 b,non-habitable,,0.74,0.77,5178,0.382401,0.48,1.153,
Kepler-386 c,non-habitable,,0.74,0.77,5178,0.382401,0.48,1.153,
Kepler-387 b,non-habitable,,1.03,1.05,5774,1.09945,0.787,1.855,
Kepler-387 c,non-habitable,,1.03,1.05,5774,1.09945,0.787,1.855,
Kepler-388 b,non-habitable,,0.59,0.59,4498,0.127841,0.286,0.707,
Kepler-388 c,non-habitable,,0.59,0.59,4498,0.127841,0.286,0.707,
Kepler-389 b,non-habitable,,0.78,0.79,5376,0.467715,0.525,1.253,
Kepler-389 c,non-habitable,,0.78,0.79,5376,0.467715,0.525,1.253,
Kepler-390 b,non-habitable,,0.67,0.78,5166,0.388774,0.484,1.164,
Kepler-390 c,non-habitable,,0.67,0.78,5166,0.388774,0.484,1.164,
Kepler-391 b,non-habitable,,1.22,3.57,4940,6.809796,2.05,4.968,
Kepler-391 c,non-habitable,,1.22,3.57,4940,6.809796,2.05,4.968,
Kepler-392 b,non-habitable,,1.13,1.13,5938,1.42432,0.887,2.081,
Kepler-392 c,non-habitable,,1.13,1.13,5938,1.42432,0.887,2.081,
Kepler-393 b,non-habitable,,1.32,1.38,6189,2.506859,1.159,2.705,
Kepler-393 c,non-habitable,,1.32,1.38,6189,2.506859,1.159,2.705,
Kepler-394 b,non-habitable,,1.11,1.13,6402,1.924463,1.002,2.331,
Kepler-394 c,non-habitable,,1.11,1.13,6402,1.924463,1.002,2.331,
Kepler-395 b,non-habitable,,0.53,0.56,4262,0.092837,0.246,0.613,
Kepler-395 c,non-habitable,,0.53,0.56,4262,0.092837,0.246,0.613,
Kepler-396 b,non-habitable,,0.81,1.04,5384,0.815411,0.693,1.653,
Kepler-396 c,non-habitable,,0.81,1.04,5384,0.815411,0.693,1.653,
Kepler-397 b,non-habitable,,0.81,0.77,5307,0.421956,0.501,1.197,
