P. Name,P. Habitable Class,P. Min Mass (EU),S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. Hab Zone Min (AU),S. Hab Zone Max (AU),
HD 200964 b,non-habitable,588.19,1.44,4.3,5164,11.797004,2.668,6.411,
HD 200964 c,non-habitable,284.56,1.44,4.3,5164,11.797004,2.668,6.411,
HD 202206 Bb,non-habitable,29759.18,1.13,1.02,5750,1.020379,0.759,1.79,
HD 202206 c,non-habitable,5691.13,1.13,1.02,5750,1.020379,0.759,1.79,
HD 203030 b,non-habitable,3497.34,0.97,0.75,5940,0.621681,0.586,1.375,
HD 204313 b,non-habitable,1360.78,1.04,1.12,5767,1.244534,0.838,1.974,
HD 204313 c,non-habitable,17.58,1.04,1.12,5767,1.244534,0.838,1.974,
HD 204313 d,non-habitable,534.14,1.04,1.12,5767,1.244534,0.838,1.974,
HD 204941 b,non-habitable,84.57,0.74,0.72,5056,0.303937,0.431,1.039,
HD 205739 b,non-habitable,435.58,1.22,1.33,6176,2.308991,1.113,2.598,
HD 206610 b,non-habitable,699.47,1.56,6.1,4874,18.840464,3.42,8.31,
HD 206893 b,non-habitable,7153.65,1.24,1.27,6486,2.53107,1.144,2.656,
HD 207832 b,non-habitable,178.05,0.94,0.9,5710,0.774255,0.663,1.565,
HD 207832 c,non-habitable,232.1,0.94,0.9,5710,0.774255,0.663,1.565,
HD 208487 b,non-habitable,131.31,1.3,1.15,5929,1.466261,0.9,2.113,
HD 208527 b,non-habitable,3147.61,1.6,51.1,4035,621.020256,20.197,51.031,
HD 208897 b,non-habitable,445.12,1.25,4.98,4860,12.413482,2.778,6.754,
HD 209458 b,non-habitable,155.12,1.15,1.2,6092,1.788384,0.985,2.302,
HD 210277 b,non-habitable,391.07,1.09,1.1,5532,1.016726,0.768,1.822,
HD 210702 b,non-habitable,604.09,1.68,5.1,5010,14.70216,3.002,7.255,
HD 211847 b,non-habitable,6104.45,0.94,0.85,5715,0.685964,0.624,1.472,
HD 212301 b,non-habitable,,1.05,1.23,5998,1.736286,0.976,2.286,
HD 212771 b,non-habitable,731.26,1.15,5,5121,15.425843,3.058,7.359,
HD 213240 b,non-habitable,1430.73,1.22,1.5,5975,2.572906,1.189,2.789,
HD 214823 b,non-habitable,6104.45,1.22,1.29,6215,2.215335,1.088,2.537,
HD 215152 b,non-habitable,2,0.77,0.73,4935,0.283586,0.418,1.014,
HD 215152 c,non-habitable,1.53,0.77,0.73,4935,0.283586,0.418,1.014,
HD 215152 d,non-habitable,2.71,0.77,0.73,4935,0.283586,0.418,1.014,
HD 215152 e,non-habitable,3.47,0.77,0.73,4935,0.283586,0.418,1.014,
HD 215456 b,non-habitable,32.11,1,1.59,5940,2.802639,1.244,2.919,
HD 215456 c,non-habitable,78.21,1.01,1.59,5940,2.802639,1.244,2.919,
HD 215497 b,non-habitable,6.36,0.87,0.9,5113,0.495342,0.548,1.32,
HD 215497 c,non-habitable,104.92,0.87,0.9,5113,0.495342,0.548,1.32,
HD 216435 b,non-habitable,400.6,1.3,2,5767,3.969626,1.496,3.526,
HD 216437 b,non-habitable,578.65,1.06,1.1,5636,1.095366,0.792,1.874,
HD 216536 b,non-habitable,467.37,1.36,12.5,4639,64.924308,6.411,15.738,
HD 216770 b,non-habitable,206.66,0.9,1,5248,0.680558,0.638,1.528,
HD 217107 b,non-habitable,422.86,1.02,1.08,5666,1.078558,0.785,1.854,
