P. Name,P. Composition Class,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Radius (EU)
Kepler-327 d,rocky-iron,non-habitable,,5.82,1.72
Kepler-328 b,rocky-iron,non-habitable,,21.94,2.31
Kepler-328 c,gas,non-habitable,31.58,31.79,5.41
Kepler-329 b,rocky-iron,non-habitable,,2.73,1.4
Kepler-329 c,rocky-iron,non-habitable,,8.88,1.93
Kepler-330 b,rocky-iron,non-habitable,,2.37,1.34
Kepler-330 c,rocky-iron,non-habitable,,9.29,1.95
Kepler-331 b,rocky-iron,non-habitable,,7.04,1.81
Kepler-331 c,rocky-iron,non-habitable,,7.38,1.84
Kepler-331 d,rocky-iron,non-habitable,,4.77,1.64
Kepler-332 b,rocky-iron,non-habitable,,1.45,1.16
Kepler-332 c,rocky-iron,non-habitable,,1.14,1.09
Kepler-332 d,rocky-iron,non-habitable,,1.49,1.18
Kepler-333 b,rocky-iron,non-habitable,,2.23,1.32
Kepler-333 c,rocky-iron,non-habitable,,1.23,1.11
Kepler-334 b,rocky-iron,non-habitable,,1.27,1.12
Kepler-334 c,rocky-iron,non-habitable,,2.97,1.43
Kepler-334 d,rocky-iron,non-habitable,,2.81,1.41
Kepler-335 b,gas,non-habitable,,7.65,3.38
Kepler-335 c,gas,non-habitable,,5.66,3.07
Kepler-336 b,rocky-iron,non-habitable,,0.92,1.02
Kepler-336 c,rocky-iron,non-habitable,,12.42,2.09
Kepler-336 d,rocky-iron,non-habitable,,20.8,2.36
Kepler-337 b,rocky-iron,non-habitable,,3.78,1.53
Kepler-337 c,rocky-iron,non-habitable,,11.37,2.05
Kepler-338 b,rocky-iron,non-habitable,30.62,30.62,2.58
Kepler-338 c,rocky-iron,non-habitable,,25.7,2.48
Kepler-338 d,gas,non-habitable,,3.57,2.65
Kepler-338 e,rocky-iron,non-habitable,,8.58,1.59
Kepler-339 b,rocky-iron,non-habitable,,2.89,1.42
Kepler-339 c,rocky-iron,non-habitable,,1.4,1.15
Kepler-339 d,rocky-iron,non-habitable,,1.45,1.16
Kepler-340 b,gas,non-habitable,,3.06,2.53
Kepler-340 c,gas,non-habitable,,7.57,3.37
Kepler-341 b,rocky-iron,non-habitable,,1.49,1.18
Kepler-341 c,rocky-iron,non-habitable,,5.54,1.7
Kepler-341 d,rocky-iron,non-habitable,,7.56,1.85
Kepler-341 e,rocky-iron,non-habitable,,10.17,1.99
Kepler-342 b,rocky-iron,non-habitable,,16.81,2.25
Kepler-342 c,rocky-iron,non-habitable,,9.51,1.96
Kepler-342 d,rocky-iron,non-habitable,,26.25,2.49
Kepler-342 e,rocky-iron,non-habitable,,0.58,0.88
Kepler-343 b,rocky-iron,non-habitable,,22.64,2.41
Kepler-343 c,rocky-iron,non-habitable,,10.64,2.02
Kepler-344 b,gas,non-habitable,,3.38,2.61
Kepler-344 c,gas,non-habitable,,4.98,2.95
Kepler-345 b,rocky-iron,non-habitable,,0.32,0.74
Kepler-345 c,rocky-iron,non-habitable,,1.59,1.2
Kepler-346 b,gas,non-habitable,,3.57,2.65
Kepler-346 c,gas,non-habitable,,5.66,3.07
Kepler-347 b,rocky-iron,non-habitable,,9.72,1.97
Kepler-347 c,rocky-iron,non-habitable,,6.1,1.75
Kepler-348 b,rocky-iron,non-habitable,,3.69,1.52
Kepler-348 c,rocky-iron,non-habitable,,2.3,1.33
Kepler-349 b,rocky-iron,non-habitable,,8.48,1.9
Kepler-349 c,rocky-iron,non-habitable,,9.51,1.96
Kepler-350 b,rocky-iron,non-habitable,,7.56,1.85
Kepler-350 c,gas,non-habitable,5.55,5.6,3.1
Kepler-350 d,rocky-water,non-habitable,,15.26,2.8
Kepler-351 b,gas,non-habitable,,5.59,3.06
Kepler-351 c,gas,non-habitable,,6.39,3.19
Kepler-351 d,gas,non-habitable,,3.87,2.72
Kepler-352 b,rocky-iron,non-habitable,,0.53,0.86
Kepler-352 c,rocky-iron,non-habitable,,1.81,1.24
Kepler-353 b,rocky-iron,non-habitable,,0.58,0.88
Kepler-353 c,rocky-iron,non-habitable,,2.58,1.38
Kepler-354 b,rocky-iron,non-habitable,,7.38,1.84
Kepler-354 c,rocky-iron,non-habitable,,2.17,1.31
Kepler-354 d,rocky-iron,non-habitable,,1.81,1.24
Kepler-355 b,rocky-iron,non-habitable,,3.14,1.46
Kepler-355 c,gas,non-habitable,,3.82,2.71
Kepler-356 b,rocky-iron,non-habitable,,4.09,1.57
Kepler-356 c,rocky-iron,non-habitable,,6.88,1.8
Kepler-357 b,rocky-iron,non-habitable,,7.38,1.84
Kepler-357 c,gas,non-habitable,,3.62,2.67
Kepler-357 d,gas,non-habitable,,7.97,3.43
Kepler-358 b,gas,non-habitable,,3.87,2.72
Kepler-358 c,gas,non-habitable,,4.45,2.84
Kepler-359 b,gas,non-habitable,,8.7,3.53
Kepler-359 c,gas,non-habitable,,15.83,4.3
Kepler-359 d,gas,non-habitable,,12.83,4.01
Kepler-360 b,rocky-iron,non-habitable,,4.89,1.65
Kepler-360 c,rocky-iron,non-habitable,,12.42,2.09
Kepler-361 b,rocky-iron,non-habitable,,3.05,1.44
Kepler-361 c,gas,non-habitable,,3.02,2.52
Kepler-362 b,rocky-iron,non-habitable,,0.58,0.88
Kepler-362 c,rocky-iron,non-habitable,,3.05,1.44
Kepler-363 b,rocky-iron,non-habitable,,1.4,1.15
Kepler-363 c,rocky-iron,non-habitable,,5.4,1.69
Kepler-363 d,rocky-iron,non-habitable,,11.37,2.05
Kepler-364 b,rocky-iron,non-habitable,,3.88,1.55
Kepler-364 c,rocky-iron,non-habitable,,13.85,2.15
Kepler-365 b,rocky-iron,non-habitable,,11.12,2.04
Kepler-365 c,rocky-iron,non-habitable,,4.77,1.64
Kepler-366 b,rocky-iron,non-habitable,,3.14,1.46
Kepler-366 c,rocky-iron,non-habitable,,6.72,1.79
Kepler-367 b,rocky-iron,non-habitable,,2.1,1.3
Kepler-367 c,rocky-iron,non-habitable,,1.59,1.2
Kepler-368 b,gas,non-habitable,,6.82,3.26
Kepler-368 c,gas,non-habitable,,11.57,3.88
Kepler-369 b,rocky-iron,non-habitable,,1.31,1.13
Kepler-369 c,rocky-iron,non-habitable,,2.81,1.41
Kepler-370 b,rocky-iron,non-habitable,,4.31,1.59
Kepler-370 c,rocky-iron,non-habitable,,8.48,1.9
Kepler-371 b,rocky-iron,non-habitable,,8.29,1.89
Kepler-371 c,rocky-iron,non-habitable,,6.56,1.78
Kepler-372 b,rocky-iron,non-habitable,,2.44,1.36
Kepler-372 c,rocky-iron,non-habitable,,12.15,2.08
Kepler-372 d,rocky-iron,non-habitable,,5.4,1.69
Kepler-373 b,rocky-iron,non-habitable,,2.44,1.36
Kepler-373 c,rocky-iron,non-habitable,,1.81,1.24
Kepler-374 b,rocky-iron,non-habitable,,0.96,1.03
Kepler-374 c,rocky-iron,non-habitable,,1.18,1.1
Kepler-374 d,rocky-iron,non-habitable,,2.17,1.31
Kepler-375 b,rocky-iron,non-habitable,,3.05,1.44
Kepler-375 c,gas,non-habitable,,3.52,2.64
Kepler-376 b,rocky-iron,non-habitable,,1.07,1.06
Kepler-376 c,rocky-iron,non-habitable,,6.72,1.79
Kepler-377 b,rocky-iron,non-habitable,,2.65,1.39
Kepler-377 c,rocky-iron,non-habitable,,11.62,2.06
Kepler-378 b,rocky-iron,non-habitable,,0.34,0.75
Kepler-378 c,rocky-iron,non-habitable,,0.27,0.69
Kepler-379 b,rocky-iron,non-habitable,,5.02,1.66
Kepler-379 c,rocky-iron,non-habitable,,17.93,2.28
Kepler-380 b,rocky-iron,non-habitable,,1.54,1.19
Kepler-380 c,rocky-iron,non-habitable,,1.92,1.27
Kepler-381 b,rocky-iron,non-habitable,,0.83,0.99
Kepler-381 c,rocky-iron,non-habitable,,1.27,1.12
Kepler-382 b,rocky-iron,non-habitable,,2.23,1.32
Kepler-382 c,rocky-iron,non-habitable,,4.31,1.59
Kepler-383 b,rocky-iron,non-habitable,,2.23,1.32
Kepler-383 c,rocky-iron,non-habitable,,1.81,1.24
Kepler-384 b,rocky-iron,non-habitable,,1.27,1.12
Kepler-384 c,rocky-iron,non-habitable,,1.31,1.13
Kepler-385 b,gas,non-habitable,,3.92,2.73
Kepler-385 c,gas,non-habitable,,5.46,3.04
Kepler-386 b,rocky-iron,non-habitable,,2.65,1.39
Kepler-386 c,rocky-iron,non-habitable,,4.2,1.58
Kepler-387 b,rocky-iron,non-habitable,,0.96,1.03
Kepler-387 c,rocky-iron,non-habitable,,0.58,0.88
Kepler-388 b,rocky-iron,non-habitable,,0.43,0.81
Kepler-388 c,rocky-iron,non-habitable,,0.53,0.86
Kepler-389 b,rocky-iron,non-habitable,,3.59,1.51
Kepler-389 c,rocky-iron,non-habitable,,3.14,1.46
Kepler-390 b,rocky-iron,non-habitable,,0.45,0.82
Kepler-390 c,rocky-iron,non-habitable,,0.39,0.78
Kepler-391 b,gas,non-habitable,,6.39,3.19
Kepler-391 c,gas,non-habitable,,8.79,3.54
Kepler-392 b,rocky-iron,non-habitable,,0.86,1
Kepler-392 c,rocky-iron,non-habitable,,1.18,1.1
Kepler-393 b,rocky-iron,non-habitable,,2.04,1.29
Kepler-393 c,rocky-iron,non-habitable,,2.3,1.33
Kepler-394 b,rocky-iron,non-habitable,,4.42,1.6
Kepler-394 c,rocky-iron,non-habitable,,5.02,1.66
Kepler-395 b,rocky-iron,non-habitable,,0.96,1.03
Kepler-395 c,rocky-iron,non-habitable,,2.23,1.32
Kepler-396 b,rocky-water,non-habitable,,69.95,3.47
Kepler-396 c,gas,non-habitable,,16.85,5.26
Kepler-397 b,rocky-iron,non-habitable,,24.64,2.45
Kepler-397 c,gas,non-habitable,,46.95,6.17
Kepler-398 b,rocky-iron,non-habitable,,0.68,0.93
Kepler-398 c,rocky-iron,non-habitable,,0.89,1.01
Kepler-398 d,rocky-iron,non-habitable,,0.58,0.88
Kepler-399 b,rocky-iron,non-habitable,,0.77,0.96
Kepler-399 c,rocky-iron,non-habitable,,2.97,1.43
Kepler-399 d,rocky-iron,non-habitable,,8.29,1.89
Kepler-400 b,rocky-iron,non-habitable,,4.89,1.65
Kepler-400 c,rocky-iron,non-habitable,,3.4,1.49
Kepler-401 b,rocky-iron,non-habitable,,5.68,1.71
Kepler-401 c,rocky-iron,non-habitable,,13.85,2.15
Kepler-401 d,rocky-iron,non-habitable,,17.55,2.27
Kepler-402 b,rocky-iron,non-habitable,,1.7,1.22
Kepler-402 c,rocky-iron,non-habitable,,3.99,1.56
Kepler-402 d,rocky-iron,non-habitable,,2.58,1.38
Kepler-402 e,rocky-iron,non-habitable,,3.14,1.46
Kepler-403 b,rocky-iron,non-habitable,,1.86,1.25
Kepler-403 c,rocky-iron,non-habitable,,6.1,1.75
Kepler-403 d,rocky-iron,non-habitable,,2.89,1.42
Kepler-404 b,rocky-iron,non-habitable,,1.92,1.27
Kepler-404 c,rocky-iron,non-habitable,,5.68,1.71
Kepler-405 b,rocky-iron,non-habitable,,12.15,2.08
Kepler-405 c,gas,non-habitable,,20.11,4.66
Kepler-406 b,rocky-iron,non-habitable,,6.36,1.43
Kepler-406 c,iron,non-habitable,,2.71,0.85
Kepler-408 b,iron,non-habitable,,6.36,0.82
Kepler-409 b,iron,non-habitable,,22,1.19
Kepler-410 A b,gas,non-habitable,,4.41,2.84
Kepler-411 b,rocky-iron,non-habitable,,8.1,1.88
Kepler-411 c,gas,non-habitable,,6.9,3.27
Kepler-412 b,gas,non-habitable,,298.55,14.84
Kepler-413(AB) b,water-gas,non-habitable,,67.02,4.34
Kepler-418 b,gas,non-habitable,321.45,349.73,13.44
Kepler-419 b,gas,non-habitable,,861.62,12.43
Kepler-419 c,gas,non-habitable,2352.76,2352.76,11.66
Kepler-420 A b,gas,non-habitable,,461.01,10.53
Kepler-421 b,gas,non-habitable,,14.29,4.16
Kepler-422 b,gas,non-habitable,,136.71,12.88
Kepler-423 b,gas,non-habitable,,189.17,13.35
Kepler-424 b,gas,non-habitable,,327.48,9.97
Kepler-424 c,gas,non-habitable,2216.04,2216.04,11.67
Kepler-430 b,gas,non-habitable,,6.75,3.25
Kepler-430 c,gas,non-habitable,,6.75,3.25
Kepler-431 b,rocky-iron,non-habitable,,0.36,0.76
Kepler-431 c,rocky-iron,non-habitable,,0.23,0.67
Kepler-431 d,rocky-iron,non-habitable,,1.23,1.11
Kepler-432 b,gas,non-habitable,,1720.06,16.24
Kepler-433 b,gas,non-habitable,,896.59,16.24
Kepler-434 b,gas,non-habitable,,909.31,12.66
Kepler-435 b,gas,non-habitable,,267.07,22.29
Kepler-436 b,gas,non-habitable,,3.91,2.73
Kepler-436 c,rocky-iron,non-habitable,,19.52,2.33
Kepler-437 b,rocky-iron,non-habitable,,13.57,2.14
Kepler-438 b,rocky-iron,mesoplanet,,1.27,1.12
Kepler-439 b,rocky-iron,non-habitable,,16.46,2.24
Kepler-440 b,rocky-iron,mesoplanet,,7.75,1.86
Kepler-441 b,rocky-iron,non-habitable,,4.82,1.64
Kepler-442 b,rocky-iron,psychroplanet,,2.34,1.34
Kepler-443 b,rocky-iron,mesoplanet,,19.53,2.33
Kepler-444 b,rocky-iron,non-habitable,,0.04,0.38
Kepler-444 c,rocky-iron,non-habitable,,0.09,0.49
Kepler-444 d,rocky-iron,non-habitable,,0.11,0.53
Kepler-444 e,rocky-iron,non-habitable,,0.12,0.53
Kepler-444 f,rocky-iron,non-habitable,,0.25,0.68
Kepler-445 b,rocky-iron,non-habitable,,6.36,1.58
Kepler-445 c,rocky-water,non-habitable,,8.58,2.51
Kepler-445 d,rocky-iron,non-habitable,,3.5,1.25
Kepler-446 b,rocky-iron,non-habitable,,4.45,1.5
Kepler-446 c,rocky-iron,non-habitable,,2.86,1.1
Kepler-446 d,rocky-iron,non-habitable,,3.18,1.34
Kepler-447 b,gas,non-habitable,,435.58,18.48
Kepler-448 b,gas,non-habitable,,3179.4,16.02
Kepler-449 b,rocky-iron,non-habitable,,11.47,2.05
Kepler-449 c,gas,non-habitable,,4.06,2.76
Kepler-450 b,gas,non-habitable,,46.17,6.14
Kepler-450 c,gas,non-habitable,,3.42,2.62
Kepler-450 d,rocky-iron,non-habitable,,0.48,0.84
Kepler-452 b,rocky-iron,mesoplanet,,4.72,1.63
Kepler-453(AB) b,gas,non-habitable,,16,6.16
Kepler-454 b,rocky-water,non-habitable,,6.84,2.36
Kepler-454 c,gas,non-habitable,1418.01,1418.01,11.67
Kepler-455 b,gas,non-habitable,,68.05,6.94
Kepler-456 b,gas,non-habitable,,57.79,6.6
Kepler-457 b,rocky-iron,non-habitable,,20.36,2.35
Kepler-457 c,rocky-iron,non-habitable,,20.36,2.35
Kepler-458 b,gas,non-habitable,,19.26,4.59
Kepler-458 c,gas,non-habitable,,14.75,4.2
Kepler-459 b,gas,non-habitable,,33.06,5.5
Kepler-460 b,gas,non-habitable,,52.15,6.38
Kepler-460 c,gas,non-habitable,,33.25,5.51
Kepler-461 b,gas,non-habitable,,3.24,2.58
Kepler-462 b,gas,non-habitable,,10.59,3.76
Kepler-462 c,gas,non-habitable,,22.2,4.82
Kepler-463 b,gas,non-habitable,,5.53,3.05
Kepler-464 b,gas,non-habitable,,7.04,3.29
Kepler-465 b,gas,non-habitable,,4.98,2.95
Kepler-466 b,gas,non-habitable,,4.45,2.84
Kepler-466 c,rocky-iron,non-habitable,,1.86,1.25
Kepler-467 b,rocky-iron,non-habitable,,16.81,2.25
Kepler-468 b,,non-habitable,,,13.33
Kepler-469 b,,non-habitable,,,17.89
Kepler-470 b,,non-habitable,,,14.43
Kepler-471 b,,non-habitable,,,14.95
Kepler-472 b,gas,non-habitable,,6.54,3.21
Kepler-473 b,gas,non-habitable,,13.49,4.08
Kepler-474 b,gas,non-habitable,,5.59,3.06
Kepler-475 b,rocky-iron,non-habitable,,26.25,2.49
Kepler-476 b,gas,non-habitable,,5.72,3.08
Kepler-477 b,rocky-iron,non-habitable,,11.88,2.07
Kepler-478 b,gas,non-habitable,,3.82,2.71
Kepler-479 b,rocky-iron,non-habitable,,12.97,2.12
Kepler-480 b,gas,non-habitable,,4.13,2.78
Kepler-481 b,rocky-iron,non-habitable,,26.81,2.5
Kepler-482 b,rocky-iron,non-habitable,,20.8,2.36
Kepler-483 b,gas,non-habitable,,6.46,3.2
Kepler-484 b,rocky-iron,non-habitable,,17.55,2.27
Kepler-485 b,,non-habitable,,,14.4
Kepler-486 b,gas,non-habitable,,502.57,10.99
Kepler-487 b,gas,non-habitable,,755.66,11.41
Kepler-487 c,gas,non-habitable,,3.67,2.68
Kepler-488 b,,non-habitable,,,15.78
Kepler-489 b,gas,non-habitable,,96.56,7.72
Kepler-490 b,gas,non-habitable,,1160.45,11.64
Kepler-491 b,gas,non-habitable,,164.34,8.92
Kepler-492 b,gas,non-habitable,,224.37,9.59
Kepler-493 b,,non-habitable,,,15.12
Kepler-494 b,gas,non-habitable,,74.28,7.13
Kepler-495 b,gas,non-habitable,,28.42,5.23
Kepler-496 b,rocky-iron,non-habitable,,19.11,2.32
Kepler-497 b,gas,non-habitable,,43.88,6.04
Kepler-498 b,gas,non-habitable,,5.4,3.02
Kepler-499 b,rocky-iron,non-habitable,,14.46,2.17
Kepler-500 b,gas,non-habitable,,3.24,2.58
Kepler-501 b,gas,non-habitable,,15.83,4.3
Kepler-502 b,gas,non-habitable,,21.59,4.77
Kepler-503 b,gas,non-habitable,,49.09,6.26
Kepler-504 b,rocky-iron,non-habitable,,4.31,1.59
Kepler-505 b,gas,non-habitable,,3.33,2.6
Kepler-506 b,gas,non-habitable,,3.92,2.73
Kepler-507 b,rocky-iron,non-habitable,,2.1,1.3
Kepler-508 b,rocky-iron,non-habitable,,4.77,1.64
Kepler-509 b,rocky-iron,non-habitable,,26.25,2.49
Kepler-510 b,rocky-iron,non-habitable,,25.16,2.46
Kepler-511 b,gas,non-habitable,,51.3,6.35
Kepler-512 b,gas,non-habitable,,3.72,2.69
Kepler-513 b,rocky-iron,non-habitable,,15.1,2.2
Kepler-514 b,rocky-iron,non-habitable,,5.68,1.71
Kepler-515 b,rocky-iron,non-habitable,,3.14,1.46
Kepler-516 b,gas,non-habitable,,37.51,5.73
Kepler-517 b,gas,non-habitable,,3.62,2.67
Kepler-518 b,rocky-iron,non-habitable,,12.69,2.11
Kepler-519 b,rocky-iron,non-habitable,,12.42,2.09
Kepler-520 b,rocky-iron,non-habitable,,5.02,1.66
Kepler-520 c,rocky-iron,non-habitable,,1.07,1.06
Kepler-521 b,gas,non-habitable,,6.33,3.18
Kepler-522 b,gas,non-habitable,,66.64,6.9
Kepler-523 b,rocky-iron,non-habitable,,9.51,1.96
Kepler-524 b,rocky-iron,non-habitable,,8.48,1.9
Kepler-524 c,rocky-iron,non-habitable,,0.77,0.96
Kepler-525 b,gas,non-habitable,,3.47,2.63
Kepler-526 b,rocky-iron,non-habitable,,10.17,1.99
Kepler-527 b,gas,non-habitable,,4.4,2.83
Kepler-528 b,rocky-iron,non-habitable,,12.15,2.08
Kepler-529 b,rocky-iron,non-habitable,,7.73,1.86
Kepler-529 c,rocky-iron,non-habitable,,10.17,1.99
Kepler-530 b,gas,non-habitable,,5.34,3.01
Kepler-531 b,gas,non-habitable,,4.13,2.78
Kepler-532 b,gas,non-habitable,,3.19,2.56
Kepler-533 b,gas,non-habitable,,7.65,3.38
Kepler-534 b,rocky-iron,non-habitable,,16.46,2.24
Kepler-535 b,rocky-iron,non-habitable,,20.8,2.36
Kepler-536 b,gas,non-habitable,,5.85,3.1
Kepler-537 b,rocky-iron,non-habitable,,2.81,1.41
Kepler-538 b,rocky-iron,non-habitable,,17.18,2.26
Kepler-539 b,gas,non-habitable,,0.97,8.37
Kepler-539 c,rocky-iron,non-habitable,2.4,2.4,1.35
Kepler-540 b,gas,non-habitable,,3.82,2.71
Kepler-541 b,gas,non-habitable,,7.49,3.36
Kepler-542 b,rocky-iron,non-habitable,,4.09,1.57
Kepler-543 b,rocky-iron,non-habitable,,26.81,2.5
Kepler-544 b,rocky-iron,non-habitable,,12.97,2.12
Kepler-545 b,gas,non-habitable,,3.72,2.69
Kepler-546 b,gas,non-habitable,,69.47,6.99
Kepler-547 b,gas,non-habitable,,12.72,4
Kepler-548 b,,non-habitable,,,11.98
Kepler-549 b,gas,non-habitable,,3.19,2.56
Kepler-549 c,gas,non-habitable,,4.86,2.92
Kepler-550 b,gas,non-habitable,,17.1,4.41
Kepler-551 b,gas,non-habitable,,3.92,2.73
Kepler-552 b,gas,non-habitable,,12.19,3.94
Kepler-553 b,gas,non-habitable,,19.68,4.63
Kepler-553 c,gas,non-habitable,,594.75,11.19
Kepler-554 b,gas,non-habitable,,15.71,4.29
Kepler-555 b,gas,non-habitable,,4.34,2.82
Kepler-556 b,rocky-iron,non-habitable,,16.46,2.24
Kepler-557 b,gas,non-habitable,,3.62,2.67
Kepler-558 b,rocky-iron,non-habitable,,20.8,2.36
Kepler-559 b,gas,non-habitable,,9.31,3.61
Kepler-560 b,rocky-iron,non-habitable,,5.68,1.71
Kepler-561 b,gas,non-habitable,,68.4,6.96
Kepler-561 c,gas,non-habitable,,3.67,2.68
Kepler-562 b,gas,non-habitable,,28.06,5.21
Kepler-563 b,gas,non-habitable,,5.79,3.09
Kepler-564 b,gas,non-habitable,,19.68,4.63
Kepler-565 b,gas,non-habitable,,9.57,3.64
Kepler-566 b,rocky-iron,non-habitable,,13.85,2.15
Kepler-567 b,rocky-iron,non-habitable,,16.81,2.25
Kepler-568 b,rocky-iron,non-habitable,,17.18,2.26
Kepler-569 b,gas,non-habitable,,6.19,3.16
Kepler-570 b,rocky-iron,non-habitable,,24.64,2.45
Kepler-571 b,gas,non-habitable,,3.52,2.64
Kepler-572 b,gas,non-habitable,,3.24,2.58
Kepler-573 b,gas,non-habitable,,4.18,2.79
Kepler-574 b,rocky-iron,non-habitable,,21.7,2.39
Kepler-575 b,rocky-iron,non-habitable,,21.7,2.39
Kepler-576 b,gas,non-habitable,,6.9,3.27
Kepler-577 b,gas,non-habitable,,3.1,2.54
Kepler-578 b,rocky-iron,non-habitable,,10.17,1.99
Kepler-579 b,rocky-iron,non-habitable,,10.17,1.99
Kepler-580 b,gas,non-habitable,,3.19,2.56
Kepler-581 b,gas,non-habitable,,3.47,2.63
Kepler-582 b,gas,non-habitable,,9.85,3.67
Kepler-583 b,rocky-iron,non-habitable,,17.55,2.27
Kepler-584 b,gas,non-habitable,,14.86,4.21
Kepler-585 b,gas,non-habitable,,4.34,2.82
Kepler-586 b,gas,non-habitable,,4.18,2.79
Kepler-587 b,rocky-iron,non-habitable,,16.11,2.23
Kepler-588 b,gas,non-habitable,,3.47,2.63
Kepler-589 b,rocky-iron,non-habitable,,17.55,2.27
Kepler-590 b,gas,non-habitable,,12.94,4.02
Kepler-591 b,gas,non-habitable,,7.65,3.38
Kepler-592 b,rocky-iron,non-habitable,,21.7,2.39
Kepler-593 b,gas,non-habitable,,4.57,2.87
Kepler-594 b,rocky-iron,non-habitable,,14.46,2.17
Kepler-595 b,gas,non-habitable,,10.98,3.81
Kepler-596 b,gas,non-habitable,,8.21,3.46
Kepler-597 b,rocky-iron,non-habitable,,20.8,2.36
Kepler-598 b,rocky-iron,non-habitable,,3.49,1.5
Kepler-599 b,gas,non-habitable,,4.4,2.83
Kepler-600 b,gas,non-habitable,,4.74,2.9
Kepler-601 b,rocky-iron,non-habitable,,8.48,1.9
Kepler-602 b,rocky-iron,non-habitable,,12.15,2.08
Kepler-603 b,gas,non-habitable,,3.52,2.64
Kepler-603 c,gas,non-habitable,,55.06,6.5
Kepler-603 d,rocky-iron,non-habitable,,2.23,1.32
Kepler-604 b,gas,non-habitable,,3.28,2.59
Kepler-605 b,rocky-iron,non-habitable,,2.97,1.43
Kepler-605 c,rocky-iron,non-habitable,,0.53,0.86
Kepler-606 b,gas,non-habitable,,7.12,3.3
Kepler-607 b,rocky-iron,non-habitable,,0.56,0.87
Kepler-608 b,gas,non-habitable,,9.57,3.64
Kepler-609 b,gas,non-habitable,,7.42,3.35
Kepler-610 b,gas,non-habitable,,14.63,4.19
Kepler-610 c,gas,non-habitable,,7.04,3.29
Kepler-611 b,rocky-iron,non-habitable,,4.89,1.65
Kepler-612 b,gas,non-habitable,,4.4,2.83
Kepler-613 b,rocky-iron,non-habitable,,17.93,2.28
Kepler-614 b,rocky-iron,non-habitable,,21.7,2.39
Kepler-615 b,rocky-iron,non-habitable,,5.96,1.74
Kepler-616 b,rocky-iron,non-habitable,,23.62,2.43
Kepler-616 c,gas,non-habitable,,7.81,3.4
Kepler-617 b,rocky-iron,non-habitable,,2.23,1.32
Kepler-618 b,gas,non-habitable,,3.33,2.6
Kepler-619 b,gas,non-habitable,,6.19,3.16
Kepler-619 c,rocky-iron,non-habitable,,5.4,1.69
Kepler-620 b,gas,non-habitable,,7.19,3.32
Kepler-621 b,rocky-iron,non-habitable,,18.31,2.3
Kepler-622 b,rocky-iron,non-habitable,,13.26,2.13
Kepler-623 b,gas,non-habitable,,5.34,3.01
Kepler-624 b,rocky-iron,non-habitable,,18.71,2.31
Kepler-625 b,rocky-iron,non-habitable,,10.17,1.99
Kepler-625 c,rocky-iron,non-habitable,,1.03,1.05
Kepler-626 b,rocky-iron,non-habitable,,17.93,2.28
Kepler-627 b,gas,non-habitable,,10.31,3.73
Kepler-628 b,gas,non-habitable,,129.99,8.39
Kepler-629 b,rocky-iron,non-habitable,,2.58,1.38
Kepler-630 b,gas,non-habitable,,6.33,3.18
Kepler-631 b,gas,non-habitable,,4.74,2.9
Kepler-632 b,rocky-iron,non-habitable,,15.43,2.21
Kepler-633 b,rocky-iron,non-habitable,,4.65,1.62
Kepler-634 b,rocky-iron,non-habitable,,8.29,1.89
Kepler-635 b,gas,non-habitable,,3.52,2.64
Kepler-636 b,gas,non-habitable,,17.49,4.45
Kepler-637 b,gas,non-habitable,,21.29,4.75
Kepler-638 b,rocky-iron,non-habitable,,7.21,1.83
Kepler-639 b,rocky-iron,non-habitable,,21.25,2.37
Kepler-640 b,gas,non-habitable,,3.15,2.55
Kepler-641 b,rocky-iron,non-habitable,,7.56,1.85
Kepler-642 b,gas,non-habitable,,4.74,2.9
Kepler-643 b,gas,non-habitable,,297.6,10.15
Kepler-644 b,gas,non-habitable,,6.12,3.15
Kepler-645 b,rocky-iron,non-habitable,,12.42,2.09
Kepler-646 b,rocky-iron,non-habitable,,10.17,1.99
Kepler-647 b,rocky-iron,non-habitable,,1.45,1.16
Kepler-648 b,gas,non-habitable,,6.54,3.21
Kepler-649 b,rocky-iron,non-habitable,,17.18,2.26
Kepler-650 b,gas,non-habitable,,5.04,2.96
Kepler-651 b,rocky-iron,non-habitable,,20.8,2.36
Kepler-652 b,rocky-iron,non-habitable,,26.25,2.49
Kepler-653 b,rocky-iron,non-habitable,,9.29,1.95
Kepler-653 c,rocky-iron,non-habitable,,0.39,0.78
Kepler-654 b,rocky-iron,non-habitable,,11.88,2.07
Kepler-655 b,gas,non-habitable,,3.82,2.71
Kepler-656 b,gas,non-habitable,,5.92,3.11
Kepler-657 b,gas,non-habitable,,8.62,3.52
Kepler-658 b,rocky-iron,non-habitable,,4.65,1.62
Kepler-659 b,rocky-iron,non-habitable,,26.81,2.5
Kepler-660 b,gas,non-habitable,,3.19,2.56
Kepler-661 b,gas,non-habitable,,5.66,3.07
Kepler-662 b,rocky-iron,non-habitable,,14.46,2.17
Kepler-663 b,gas,non-habitable,,3.33,2.6
Kepler-664 b,gas,non-habitable,,3.57,2.65
Kepler-665 b,gas,non-habitable,,3.33,2.6
Kepler-666 b,rocky-iron,non-habitable,,22.16,2.4
Kepler-667 b,gas,non-habitable,,20.99,4.73
Kepler-668 b,gas,non-habitable,,3.77,2.7
Kepler-669 b,gas,non-habitable,,22.36,4.83
