hab_lbl,P. Radius (EU),S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. Hab Zone Min (AU),S. Hab Zone Max (AU)
0,1,0.91,0.94,5466,0.713694,0.646,1.535
0,1.64,1.34,1.86,6131,4.385721,1.538,3.594
0,1.69,1.11,1.52,5760,2.281744,1.135,2.675
0,2.23,1.11,1.52,5760,2.281744,1.135,2.675
0,2.35,1.03,1.07,5800,1.162437,0.808,1.903
0,2.41,0.65,0.59,4500,0.128069,0.286,0.707
0,1.79,1.29,1.82,5904,3.610921,1.415,3.324
0,1.48,1.11,1.66,5900,2.995809,1.289,3.028
0,0.32,0.8,0.77,5417,0.458043,0.519,1.235
0,0.75,0.8,0.77,5417,0.458043,0.519,1.235
0,1.94,0.8,0.77,5417,0.458043,0.519,1.235
0,0.78,0.13,0.17,3068,0.002297,0.039,0.104
0,0.73,0.13,0.17,3068,0.002297,0.039,0.104
0,0.57,0.13,0.17,3068,0.002297,0.039,0.104
0,1.88,0.88,0.89,5194,0.517223,0.558,1.339
0,1.6,0.55,0.53,3974,0.062857,0.203,0.516
0,1.56,0.55,0.53,3974,0.062857,0.203,0.516
0,2.24,1.24,1.58,6225,3.363268,1.339,3.124
0,2.13,0.54,0.52,4075,0.066897,0.209,0.528
0,1.79,0.54,0.52,4075,0.066897,0.209,0.528
0,1.95,0.54,0.52,4075,0.066897,0.209,0.528
0,2.12,0.98,0.89,5858,0.836888,0.683,1.606
0,2.13,0.51,0.5,3705,0.042265,0.168,0.431
0,1.23,0.51,0.5,3705,0.042265,0.168,0.431
0,1.52,0.51,0.5,3705,0.042265,0.168,0.431
0,2.46,0.62,0.58,4362,0.109267,0.266,0.66
0,2.24,0.62,0.58,4362,0.109267,0.266,0.66
0,1.59,0.62,0.58,4362,0.109267,0.266,0.66
0,1.55,0.62,0.58,4362,0.109267,0.266,0.66
0,1.59,0.62,0.58,4362,0.109267,0.266,0.66
0,2.24,0.83,0.73,5145,0.335025,0.45,1.082
0,2.8,0.95,1.03,5843,1.10945,0.787,1.852
0,2.91,0.95,1.03,5843,1.10945,0.787,1.852
0,1.31,0.69,0.63,4869,0.200138,0.353,0.857
0,0.54,0.69,0.63,4869,0.200138,0.353,0.857
0,1.95,0.69,0.63,4869,0.200138,0.353,0.857
0,1.41,1.2,1.4,6211,2.613192,1.182,2.756
0,2.57,1.2,1.4,6211,2.613192,1.182,2.756
0,1.51,1.2,1.4,6211,2.613192,1.182,2.756
0,0.93,1.08,1.24,5793,1.561156,0.937,2.206
0,2.23,0.81,0.93,5638,0.784072,0.67,1.585
0,1.71,0.81,0.93,5638,0.784072,0.67,1.585
0,0.76,0.5,0.2,27730,21.861576,3.242,7.472
0,0.87,0.5,0.2,27730,21.861576,3.242,7.472
0,1.2,0.81,0.74,5089,0.329521,0.448,1.079
0,1.4,0.72,0.65,4613,0.170072,0.328,0.807
0,1.5,0.72,0.65,4613,0.170072,0.328,0.807
0,1.23,0.72,0.65,4613,0.170072,0.328,0.807
0,1.13,1.71,0.74,4250,0.159426,0.322,0.805
0,2.45,0.65,0.58,4391,0.111429,0.268,0.665
0,1.21,0.65,0.58,4391,0.111429,0.268,0.665
0,1.77,0.92,0.9,5700,0.767139,0.66,1.559
0,2.46,0.92,0.9,5700,0.767139,0.66,1.559
0,2.34,0.66,0.54,4164,0.078363,0.226,0.568
0,1.94,0.66,0.54,4164,0.078363,0.226,0.568
0,1.94,0.66,0.54,4164,0.078363,0.226,0.568
0,2.2,1.02,1.03,6015,1.258094,0.83,1.943
0,2.4,1.02,1.03,6015,1.258094,0.83,1.943
0,1.38,1.02,1.03,6015,1.258094,0.83,1.943
0,2.2,1.02,1.03,6015,1.258094,0.83,1.943
0,1.99,0.95,0.84,5666,0.652461,0.61,1.442
0,2.21,0.95,0.84,5666,0.652461,0.61,1.442
0,1.2,0.95,0.84,5666,0.652461,0.61,1.442
0,1.27,0.95,0.84,5666,0.652461,0.61,1.442
0,1.71,1.25,1.66,6116,3.442552,1.364,3.188
0,1.31,1.13,1.2,5930,1.597611,0.94,2.206
0,1.19,1.13,1.2,5930,1.597611,0.94,2.206
0,1.32,1.13,1.2,5930,1.597611,0.94,2.206
0,2.07,1.21,1.72,5871,3.138866,1.322,3.107
0,1.48,0.91,0.92,5669,0.782612,0.668,1.579
0,1.33,1.12,1.67,5570,2.408483,1.179,2.794
0,1.16,0.81,0.76,4809,0.277164,0.416,1.014
0,0.88,0.81,0.76,4809,0.277164,0.416,1.014
0,1.31,1.28,1.16,5873,1.436302,0.894,2.102
0,1.58,1.12,1.41,5851,2.090492,1.08,2.54
0,1.66,1.14,1.41,5851,2.090492,1.08,2.54
0,1.06,1.16,1.41,5851,2.090492,1.08,2.54
0,1.83,1.02,1.15,5960,1.497168,0.908,2.13
0,2.21,1.03,1.15,5960,1.497168,0.908,2.13
0,1.58,1.16,1.16,5952,1.515156,0.914,2.144
0,2.36,0.83,0.84,5544,0.598055,0.588,1.396
0,2.4,0.83,0.84,5544,0.598055,0.588,1.396
0,1.81,0.75,0.69,4725,0.21291,0.366,0.895
0,1.09,1,1.21,5979,1.678707,0.961,2.252
0,2.3,1.16,1.45,6142,2.68451,1.203,2.809
0,1.96,0.86,1.09,5274,0.824714,0.701,1.679
0,0.92,0.92,0.84,5595,0.620367,0.598,1.415
0,2.15,0.56,0.53,4096,0.070938,0.216,0.543
0,1.52,0.56,0.53,4096,0.070938,0.216,0.543
0,2.34,0.78,0.7,5311,0.349777,0.456,1.09
0,2.27,0.8,0.7,5311,0.349777,0.456,1.09
0,2.34,0.99,1.22,6050,1.789085,0.987,2.311
0,2.2,0.99,1.22,6050,1.789085,0.987,2.311
0,1.48,1.03,1.26,6089,1.95801,1.03,2.41
0,0.73,0.68,0.64,4984,0.226758,0.373,0.903
0,1.75,0.7,0.64,4984,0.226758,0.373,0.903
0,1.11,0.68,0.64,4984,0.226758,0.373,0.903
0,2.36,0.55,0.51,3810,0.049173,0.181,0.461
0,0.74,0.55,0.51,3810,0.049173,0.181,0.461
0,1.44,1.18,1.36,6239,2.51436,1.157,2.698
0,1.5,1.19,1.36,6239,2.51436,1.157,2.698
0,1.52,1.25,1.36,6106,2.30672,1.117,2.612
0,2.39,1.24,1.36,6106,2.30672,1.117,2.612
0,2.41,1.18,1.64,5770,2.674735,1.228,2.894
0,0.98,1,1.13,5884,1.373212,0.874,2.053
0,1.31,1,1.13,5884,1.373212,0.874,2.053
0,1.21,1.05,1.18,6003,1.622285,0.943,2.209
0,1.28,1.02,1.18,6003,1.622285,0.943,2.209
0,1.55,1.04,1.18,6003,1.622285,0.943,2.209
0,1.18,0.891070133,1.18,6003,1.622285,0.943,2.209
0,1.76,1.15,1.43,5736,1.986088,1.06,2.501
0,1.99,1.02,1.18,5983,1.600774,0.938,2.198
0,1.25,1.02,1.18,5983,1.600774,0.938,2.198
0,1.8,1.11,1.27,6090,1.990519,1.039,2.429
0,1.15,1.11,1.27,6090,1.990519,1.039,2.429
0,2.05,1.2,1.35,6165,2.362054,1.127,2.63
0,1.99,1.2,1.35,6165,2.362054,1.127,2.63
0,1.47,0.86,0.8,5187,0.415657,0.5,1.201
0,1.88,0.84,0.8,5187,0.415657,0.5,1.201
0,1.61,1.15,1.29,6077,2.036227,1.052,2.46
0,1.8,1.14,1.29,6077,2.036227,1.052,2.46
0,0.69,1,0.79,4910,0.325439,0.449,1.089
0,1.41,1,0.79,4910,0.325439,0.449,1.089
0,1.99,0.99,1.27,5790,1.626341,0.956,2.252
0,2.16,0.99,1.27,5790,1.626341,0.956,2.252
0,2.41,1.07,1.36,5848,1.940873,1.041,2.448
0,1.33,1.03,1.24,6075,1.878963,1.01,2.363
0,1.34,1.03,1.24,6075,1.878963,1.01,2.363
0,2.55,1.42,1.89,6144,4.552381,1.566,3.658
0,1.52,1.01,1.47,6012,2.532798,1.178,2.758
0,2.43,1.01,1.47,6012,2.532798,1.178,2.758
0,1.8,0.98,0.85,5272,0.50076,0.547,1.308
0,1.61,0.97,0.95,5381,0.678874,0.633,1.509
0,1.25,0.97,0.94,5560,0.757608,0.662,1.569
0,2.08,0.83,0.83,5460,0.549309,0.567,1.348
0,2.39,0.77,0.72,5088,0.311705,0.435,1.049
0,2.26,0.89,1,5690,0.940457,0.732,1.728
0,1.5,0.89,1,5690,0.940457,0.732,1.728
0,1.5,0.89,1,5690,0.940457,0.732,1.728
0,2.08,0.58,0.62,4508,0.142432,0.302,0.745
0,2.24,0.58,0.62,4508,0.142432,0.302,0.745
0,2.3,0.85,0.81,5094,0.396365,0.491,1.182
0,1.32,0.98,1.04,5774,1.078608,0.78,1.837
0,2.24,0.97,1.04,5774,1.078608,0.78,1.837
0,1.46,0.891070133,1.04,5774,1.078608,0.78,1.837
0,2.12,0.65,0.62,4623,0.157532,0.316,0.776
0,1.9,0.65,0.62,4623,0.157532,0.316,0.776
0,2.37,0.72,0.66,4625,0.178824,0.337,0.827
0,1.53,0.9,0.88,5857,0.817629,0.675,1.588
0,2.12,0.77,0.81,5078,0.391409,0.488,1.177
0,2.05,0.77,0.81,5078,0.391409,0.488,1.177
0,1.25,0.92,0.96,5816,0.946084,0.728,1.714
0,1.05,0.96,0.92,5776,0.845229,0.69,1.626
0,2.26,0.96,0.92,5776,0.845229,0.69,1.626
0,1.41,1.11,1.15,5888,1.426122,0.89,2.092
0,2.45,1.11,1.15,5888,1.426122,0.89,2.092
0,2.32,0.74,0.77,5211,0.392243,0.485,1.164
0,2.23,0.76,0.77,5211,0.392243,0.485,1.164
0,2.27,0.85,0.74,5413,0.421799,0.498,1.186
0,2.37,0.84,0.74,5413,0.421799,0.498,1.186
0,1.72,0.891070133,0.74,5413,0.421799,0.498,1.186
0,1.44,0.76,0.7,4796,0.232596,0.381,0.93
0,1.37,0.76,0.7,4796,0.232596,0.381,0.93
0,1.19,0.76,0.7,4796,0.232596,0.381,0.93
0,1.46,1.2,1.11,6282,1.721582,0.955,2.225
0,1.13,0.86,0.76,4997,0.323113,0.445,1.077
0,1.21,0.86,0.76,4997,0.323113,0.445,1.077
0,1.25,0.86,0.76,4997,0.323113,0.445,1.077
0,2.2,0.86,0.76,4997,0.323113,0.445,1.077
0,2.34,0.96,0.84,5642,0.641476,0.606,1.433
0,1.89,0.94,0.84,5642,0.641476,0.606,1.433
0,2.35,0.86,1.08,5526,0.975845,0.752,1.786
0,2.25,0.86,1.08,5526,0.975845,0.752,1.786
0,1.29,0.78,0.95,6031,1.071259,0.765,1.791
0,2.43,0.78,0.95,6031,1.071259,0.765,1.791
0,1.96,0.68,0.62,4880,0.195593,0.348,0.846
0,1.49,0.68,0.62,4880,0.195593,0.348,0.846
0,1.43,0.88,0.89,5232,0.532526,0.565,1.354
0,1.44,0.891070133,0.89,5232,0.532526,0.565,1.354
0,1.64,0.83,0.76,5302,0.409521,0.494,1.18
0,1.99,0.85,0.76,5302,0.409521,0.494,1.18
0,1.5,0.84,1.06,5731,1.087485,0.785,1.851
0,1.27,0.87,0.75,5333,0.408224,0.492,1.175
0,1.99,0.85,0.75,5333,0.408224,0.492,1.175
0,2.06,1.08,0.96,5888,0.99381,0.743,1.746
0,2.27,1.08,0.96,5888,0.99381,0.743,1.746
0,2.36,0.91,0.87,5788,0.762153,0.655,1.542
0,1.97,0.91,0.87,5788,0.762153,0.655,1.542
0,2.49,0.91,0.87,5788,0.762153,0.655,1.542
0,1.16,0.79,0.81,5208,0.433056,0.51,1.224
0,2.02,0.79,0.81,5208,0.433056,0.51,1.224
0,1.14,0.48,0.47,3788,0.041154,0.165,0.423
0,1.34,0.48,0.47,3788,0.041154,0.165,0.423
0,1.56,0.48,0.47,3788,0.041154,0.165,0.423
0,1.33,0.48,0.47,3788,0.041154,0.165,0.423
0,1.41,0.85,1.29,6105,2.074016,1.06,2.477
0,1.68,1.03,1.14,6021,1.532407,0.915,2.144
0,1.21,0.79,0.75,5235,0.379035,0.477,1.142
0,2.37,0.79,0.75,5235,0.379035,0.477,1.142
0,1.56,0.84,0.8,5106,0.390295,0.487,1.172
0,1.46,0.84,0.8,5106,0.390295,0.487,1.172
0,1.34,0.85,0.79,5282,0.435851,0.51,1.219
0,1.86,0.85,0.79,5282,0.435851,0.51,1.219
0,2.27,0.85,0.79,5282,0.435851,0.51,1.219
0,1.02,0.891070133,1.01,5479,0.824779,0.694,1.648
0,2.39,1.23,1.15,6335,1.91105,1.003,2.334
0,1.51,1,1.02,6089,1.28314,0.834,1.951
0,2.4,1,1.02,6089,1.28314,0.834,1.951
