hab_lbl,P. Min Mass (EU),P. Mass (EU),P. Radius (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU)
0,18.21791367,1.92,1.27,255.14,255.1401,255.1402
0,18.21791367,10.17,1.99,170.0225,170.0225,170.0226
0,18.21791367,11.62,2.06,242.6295,242.6295,242.6295
0,18.21791367,17.55,2.27,93.67615,93.67616,93.67618
0,18.21791367,20.8,2.36,90.04647,90.04649,90.0465
0,18.21791367,9.72,1.97,38.33577,38.33577,38.33577
0,18.21791367,26.25,2.49,23.78681,23.78682,23.78682
0,18.21791367,1.45,1.16,640.6149,640.615,640.6151
0,18.21791367,10.64,2.02,22.41373,22.41373,22.41374
0,18.21791367,1.35,1.14,25.72135,25.72135,25.72136
0,18.21791367,2.37,1.34,11.05997,11.05997,11.05997
0,18.21791367,3.99,1.56,4.969708,4.969709,4.969709
0,18.21791367,2.3,1.33,2.473058,2.473058,2.473058
0,18.21791367,2.81,1.41,595.8102,595.8103,595.8104
0,18.21791367,5.27,1.68,1496.491,1496.491,1496.491
0,18.21791367,1.65,1.21,48.94561,48.94561,48.94562
0,18.21791367,21.25,2.37,20.19472,20.19473,20.19473
0,18.21791367,3.99,1.56,433.6612,433.6612,433.6613
0,18.21791367,3.14,1.46,192.7383,192.7383,192.7384
0,18.21791367,2.37,1.34,57.58363,57.58364,57.58364
0,18.21791367,7.73,1.86,26.60221,26.60221,26.60221
0,18.21791367,17.55,2.27,117.8056,117.8056,117.8057
0,18.21791367,0.92,1.02,932.1921178,936.314307,943.1535689
0,18.21791367,21.7,2.39,170.0827,170.0827,170.0828
0,18.21791367,3.59,1.51,1253.067,1253.067,1253.067
0,18.21791367,22.16,2.4,16.96715,16.96715,16.96715
0,18.21791367,10.88,2.03,74.24726,74.24728,74.24728
0,18.21791367,3.88,1.55,11.34304,11.34304,11.34304
0,18.21791367,8.48,1.9,19.82042,19.82043,19.82043
0,18.21791367,16.46,2.24,6.553128,6.553128,6.553129
0,18.21791367,1.06,1.06,390.476,406.3245,422.9938
0,18.21791367,1.81,1.24,97.34934,103.3214,109.7618
0,18.21791367,0.82,0.98,28.56033,58.78508,141.4547
0,18.21791367,25.16,2.46,11.40811,11.40811,11.40812
0,18.21791367,3.69,1.52,1460.929,1460.929,1460.93
0,18.21791367,13.26,2.13,128.75,128.75,128.75
0,18.21791367,4.31,1.59,101.7284,101.7284,101.7284
0,18.21791367,24.64,2.45,59.97181,59.97182,59.97182
0,18.21791367,4.65,1.62,94.43606,94.43606,94.43608
0,18.21791367,7.56,1.85,14.97635,14.97635,14.97635
0,18.21791367,25.16,2.46,341.088,341.088,341.088
0,18.21791367,2.97,1.43,126.9188,126.9188,126.9189
0,18.21791367,6.72,1.79,52.59488,52.59488,52.59489
0,18.21791367,3.59,1.51,92.39582,92.39582,92.39584
0,18.21791367,4.77,1.64,6.356713,6.356714,6.356715
0,18.21791367,1.59,1.2,230.5103,230.5103,230.5104
0,18.21791367,6.4,1.77,113.8239,113.824,113.824
0,18.21791367,1.54,1.19,52.78425,52.78426,52.78427
0,18.21791367,4.09,1.57,3312.644,3312.645,3312.646
0,18.21791367,3.49,1.5,1439.015,1439.016,1439.016
0,18.21791367,4.65,1.62,727.2513,727.2513,727.2513
0,18.21791367,2.65,1.39,339.7956,339.7957,339.7957
0,18.21791367,1.59,1.2,199.893,199.893,199.893
0,18.21791367,3.31,1.48,121.7094,121.7094,121.7094
0,18.21791367,17.18,2.26,49.20144,49.20144,49.20145
0,18.21791367,1.86,1.25,180.3568,180.3568,180.3568
0,18.21791367,2.04,1.29,108.1015,108.1015,108.1015
0,18.21791367,1.14,1.09,126.7972,126.7972,126.7972
0,18.21791367,4.65,1.62,1049.367,1049.367,1049.367
0,18.21791367,19.94,2.34,418.5839,418.5839,418.584
0,18.21791367,13.26,2.13,62.92352,62.92352,62.92352
0,18.21791367,4.65,1.62,146.3358,146.3358,146.3358
0,18.21791367,6.4,1.77,80.86345,80.86345,80.86346
0,18.21791367,21.7,2.39,30.16933,30.16933,30.16934
0,18.21791367,6.1,1.75,10.47249,10.47249,10.47249
0,18.21791367,20.36,2.35,314.1456,314.1457,314.1457
0,18.21791367,16.11,2.23,997.7697,997.7698,997.7699
0,18.21791367,7.56,1.85,532.2026,532.2027,532.2028
